Tensao [V];Corrente [A]
-5;-0,0002835679
-4,95;-0,0002669673
-4,9;-0,000261323
-4,85;-0,0002594148
-4,8;-0,0002571561
-4,75;-0,0002563433
-4,7;-0,0002534052
-4,65;-0,0002527986
-4,6;-0,0002506708
-4,55;-0,0002485689
-4,5;-0,0002475808
-4,45;-0,0002464544
-4,4;-0,0002451735
-4,35;-0,0002438904
-4,3;-0,0002429736
-4,25;-0,0002420347
-4,2;-0,0002418226
-4,15;-0,0002408433
-4,1;-0,000239701
-4,05;-0,0002383529
-4;-0,0002377721
-3,95;-0,0002375451
-3,9;-0,0002365657
-3,85;-0,000235051
-3,8;-0,0002344981
-3,75;-0,0002354786
-3,7;-0,000234454
-3,65;-0,0002310528
-3,6;-0,0002309499
-3,55;-0,0002311128
-3,5;-0,0002294863
-3,45;-0,000228229
-3,4;-0,0002270276
-3,35;-0,000227171
-3,3;-0,000226231
-3,25;-0,0002248325
-3,2;-0,0002239243
-3,15;-0,0002223847
-3,1;-0,0002210341
-3,05;-0,0002192507
-3;-0,0002191318
-2,95;-0,0002180667
-2,9;-0,0002145465
-2,85;-0,0002116174
-2,8;-0,0002093339
-2,75;-0,0002082247
-2,7;-0,0002044336
-2,65;-0,0002008841
-2,6;-0,0001979082
-2,55;-0,0001946061
-2,5;-0,0001910762
-2,45;-0,0001870903
-2,4;-0,0001828789
-2,35;-0,0001769199
-2,3;-0,0001705106
-2,25;-0,0001629384
-2,2;-0,0001568322
-2,15;-0,0001489353
-2,1;-0,0001367447
-2,05;-0,0001237157
-2;-0,0001090996
-1,95;-8,963596E-05
-1,9;-6,805069E-05
-1,85;-4,225885E-05
-1,8;-1,238679E-05
-1,75;1,981327E-05
-1,7;5,747159E-05
-1,65;0,0001009704
-1,6;0,0001502999
-1,55;0,0002064074
-1,5;0,0002739913
-1,45;0,000356113
-1,4;0,0004595485
-1,35;0,0005930236
-1,3;0,0007717733
-1,25;0,001011017
-1,2;0,001327056
-1,15;0,001738115
-1,1;0,002450018
-1,05;0,002960215
-1;0,003783873
-0,95;0,004814083
-0,9;0,006058487
-0,85;0,007537575
-0,8;0,009272881
-0,75;0,01129721
-0,7;0,01368426
-0,65;0,01652096
-0,6;0,01985459
-0,55;0,0256703
-0,5;0,03024968
-0,45;0,03527821
-0,4;0,04065167
-0,35;0,04627287
-0,3;0,05208682
-0,25;0,05812515
-0,2;0,06444763
-0,15;0,07107943
-0,1;0,07802507
-0,05;0,08528748
0;0,09290847
0,05;0,1007278
0,1;0,10885
0,15;0,1172124
0,2;0,1257814
0,25;0,1345818
0,3;0,1435975
0,35;0,1527917
0,4;0,1621388
0,45;0,1716694
0,5;0,1813588
0,55;0,1911685
0,6;0,2010802
0,65;0,2110478
0,7;0,221122
0,75;0,231236
0,8;0,2413926
0,85;0,2515722
0,9;0,2616834
0,95;0,2717157
1;0,2816369
1,05;0,2913851
1,1;0,3009434
1,15;0,3102905
1,2;0,319441
1,25;0,3284065
1,3;0,3371827
1,35;0,3457485
1,4;0,354121
1,45;0,3623311
1,5;0,3703559
1,55;0,3782196
1,6;0,3859196
1,65;0,3934778
1,7;0,4008965
1,75;0,4081537
1,8;0,4153063
1,85;0,42235
1,9;0,4292768
1,95;0,4359951
2;0,4427035
2,05;0,4493318
2,1;0,4557822
2,15;0,4621601
2,2;0,4684321
2,25;0,4745852
2,3;0,4806126
2,35;0,4866433
2,4;0,4925607
2,45;0,4983861
2,5;0,5041575
2,55;0,5097949
2,6;0,515424
2,65;0,5210131
2,7;0,5263436
2,75;0,5316847
2,8;0,5369831
2,85;0,5421597
2,9;0,5472482
2,95;0,5522725
3;0,5571524
3,05;0,561943
3,1;0,5666822
3,15;0,5713425
3,2;0,5759153
3,25;0,5804163
3,3;0,5848603
3,35;0,5892205
3,4;0,5935285
3,45;0,5978212
3,5;0,6021002
3,55;0,6062353
3,6;0,6103406
3,65;0,6143919
3,7;0,6184115
3,75;0,6224209
3,8;0,6264
3,85;0,6303202
3,9;0,6342692
3,95;0,6381828
4;0,6420416
4,05;0,6458566
4,1;0,6496816
4,15;0,6534568
4,2;0,6571584
4,25;0,6608503
4,3;0,6644892
4,35;0,6680309
4,4;0,6715495
4,45;0,6750737
4,5;0,6785158
4,55;0,681928
4,6;0,6852368
4,65;0,688492
4,7;0,6917052
4,75;0,6948836
4,8;0,6980326
4,85;0,7010926
4,9;0,704122
4,95;0,7071214
5;0,7100284
