Tensao [V];Corrente [A]
-5;-0,0003224388
-4,95;-0,0003045429
-4,9;-0,0002947803
-4,85;-0,000275521
-4,8;-0,0002528721
-4,75;-0,0002487686
-4,7;-0,0002662207
-4,65;-0,0002700181
-4,6;-0,0002725221
-4,55;-0,0002733114
-4,5;-0,0002742637
-4,45;-0,0002756674
-4,4;-0,0002723749
-4,35;-0,000275678
-4,3;-0,0002731642
-4,25;-0,0002725317
-4,2;-0,0002717706
-4,15;-0,0002691663
-4,1;-0,0002672763
-4,05;-0,0002635684
-4;-0,0002666939
-3,95;-0,0002502456
-3,9;-0,0002350865
-3,85;-0,0002117766
-3,8;-0,0002155823
-3,75;-0,0002252444
-3,7;-0,000231781
-3,65;-0,0002403336
-3,6;-0,0002441208
-3,55;-0,0002493837
-3,5;-0,0002524113
-3,45;-0,0002498913
-3,4;-0,0002494159
-3,35;-0,0002496939
-3,3;-0,0002493568
-3,25;-0,0002528537
-3,2;-0,0002586647
-3,15;-0,0002596769
-3,1;-0,0002585299
-3,05;-0,000255495
-3;-0,0002530754
-2,95;-0,0002515839
-2,9;-0,0002509379
-2,85;-0,0002551321
-2,8;-0,0002491092
-2,75;-0,0002482379
-2,7;-0,0002425286
-2,65;-0,0002366601
-2,6;-0,0002390281
-2,55;-0,0002327245
-2,5;-0,0002279776
-2,45;-0,0002204593
-2,4;-0,0002142939
-2,35;-0,000209281
-2,3;-0,0002044334
-2,25;-0,0001967463
-2,2;-0,0001827931
-2,15;-0,0001723039
-2,1;-0,0001625339
-2,05;-0,000151802
-2;-0,0001346267
-1,95;-0,0001123085
-1,9;-8,467078E-05
-1,85;-5,350441E-05
-1,8;-2,558138E-06
-1,75;3,256299E-05
-1,7;6,316375E-05
-1,65;0,0001080697
-1,6;0,0001627174
-1,55;0,0002269195
-1,5;0,0003015363
-1,45;0,0003897765
-1,4;0,0005032839
-1,35;0,0006489326
-1,3;0,0008426302
-1,25;0,001126243
-1,2;0,001492614
-1,15;0,001964262
-1,1;0,002750824
-1,05;0,003334861
-1;0,004271229
-0,95;0,005445238
-0,9;0,006848185
-0,85;0,008523311
-0,8;0,0104868
-0,75;0,01277438
-0,7;0,01547565
-0,65;0,01870457
-0,6;0,02447379
-0,55;0,0291131
-0,5;0,03432708
-0,45;0,04005053
-0,4;0,04616018
-0,35;0,05252435
-0,3;0,05911275
-0,25;0,0659676
-0,2;0,07312794
-0,15;0,08064389
-0,1;0,08851901
-0,05;0,09674226
0;0,1053761
0,05;0,114246
0,1;0,1234337
0,15;0,1328869
0,2;0,1426132
0,25;0,1525974
0,3;0,1628168
0,35;0,1732504
0,4;0,1838841
0,45;0,1947445
0,5;0,2057738
0,55;0,2169275
0,6;0,2282828
0,65;0,2396985
0,7;0,2511882
0,75;0,2627389
0,8;0,2743404
0,85;0,2859443
0,9;0,2975136
0,95;0,308987
1;0,320309
1,05;0,3314595
1,1;0,3423912
1,15;0,3530917
1,2;0,3635705
1,25;0,3738563
1,3;0,3838719
1,35;0,3936819
1,4;0,4032977
1,45;0,4127062
1,5;0,4218593
1,55;0,4308766
1,6;0,4397131
1,65;0,4483335
1,7;0,4567858
1,75;0,4651062
1,8;0,473322
1,85;0,4812779
1,9;0,48921
1,95;0,4971111
2;0,504705
2,05;0,5122831
2,1;0,5196158
2,15;0,5269156
2,2;0,5340636
2,25;0,5411913
2,3;0,5481346
2,35;0,5549908
2,4;0,561773
2,45;0,5684681
2,5;0,5750844
2,55;0,5815629
2,6;0,5879531
2,65;0,594245
2,7;0,6004452
2,75;0,6065474
2,8;0,6125744
2,85;0,6184756
2,9;0,6243066
2,95;0,6300184
3;0,6356281
3,05;0,6411198
3,1;0,6465194
3,15;0,6518927
3,2;0,657141
3,25;0,6622415
3,3;0,6673368
3,35;0,6723679
3,4;0,6772555
3,45;0,6820586
3,5;0,6868602
3,55;0,6915735
3,6;0,6962341
3,65;0,7008156
3,7;0,7053756
3,75;0,7099944
3,8;0,714534
3,85;0,719072
3,9;0,7235813
3,95;0,7280477
4;0,7324729
4,05;0,7368349
4,1;0,7411751
4,15;0,7454626
4,2;0,7496969
4,25;0,7538566
4,3;0,7579872
4,35;0,7620916
4,4;0,7661389
4,45;0,7700878
4,5;0,7739721
4,55;0,7778538
4,6;0,7817132
4,65;0,7854737
4,7;0,7891574
4,75;0,7927358
4,8;0,7963126
4,85;0,7997876
4,9;0,8032439
4,95;0,8066275
5;0,8100242
