Tensao [V];Corrente [A]
-5;-9,882768E-05
-4,95;-8,446152E-05
-4,9;-7,874623E-05
-4,85;-7,589899E-05
-4,8;-7,267056E-05
-4,75;-7,013334E-05
-4,7;-6,761944E-05
-4,65;-6,551255E-05
-4,6;-6,558855E-05
-4,55;-6,570496E-05
-4,5;-6,396577E-05
-4,45;-6,199363E-05
-4,4;-6,145193E-05
-4,35;-5,480751E-05
-4,3;-5,365412E-05
-4,25;-5,36407E-05
-4,2;-5,340533E-05
-4,15;-4,76434E-05
-4,1;-4,615423E-05
-4,05;-4,979076E-05
-4;-5,052991E-05
-3,95;-5,213554E-05
-3,9;-5,495703E-05
-3,85;-5,870514E-05
-3,8;-5,81793E-05
-3,75;-5,658105E-05
-3,7;-5,628321E-05
-3,65;-5,616186E-05
-3,6;-5,217353E-05
-3,55;-5,055812E-05
-3,5;-4,653908E-05
-3,45;-4,695704E-05
-3,4;-4,591769E-05
-3,35;-4,6707E-05
-3,3;-4,849525E-05
-3,25;-4,86865E-05
-3,2;-4,74743E-05
-3,15;-4,728309E-05
-3,1;-4,725611E-05
-3,05;-4,627558E-05
-3;-4,43304E-05
-2,95;-4,417967E-05
-2,9;-4,356437E-05
-2,85;-4,367469E-05
-2,8;-4,244414E-05
-2,75;-4,182271E-05
-2,7;-4,057614E-05
-2,65;-3,913354E-05
-2,6;-3,736733E-05
-2,55;-3,706582E-05
-2,5;-3,62851E-05
-2,45;-3,453357E-05
-2,4;-3,262768E-05
-2,35;-3,025966E-05
-2,3;-2,837825E-05
-2,25;-2,627867E-05
-2,2;-2,504809E-05
-2,15;-2,204273E-05
-2,1;-1,907536E-05
-2,05;-1,478182E-05
-2;-1,068192E-05
-1,95;-7,405698E-06
-1,9;-2,201474E-06
-1,85;3,842419E-06
-1,8;1,062055E-05
-1,75;1,920048E-05
-1,7;2,779143E-05
-1,65;4,482384E-05
-1,6;5,435367E-05
-1,55;6,605057E-05
-1,5;7,992054E-05
-1,45;0,000101151
-1,4;0,0001268637
-1,35;0,0001550243
-1,3;0,0001929512
-1,25;0,0002573755
-1,2;0,00032973
-1,15;0,0004216906
-1,1;0,0005344714
-1,05;0,000693321
-1;0,0008729421
-0,95;0,001093805
-0,9;0,00135457
-0,85;0,001679465
-0,8;0,002041523
-0,75;0,002586868
-0,7;0,002981486
-0,65;0,003549505
-0,6;0,00423384
-0,55;0,005028272
-0,5;0,005916155
-0,45;0,006903277
-0,4;0,007991499
-0,35;0,009141337
-0,3;0,01035061
-0,25;0,01160754
-0,2;0,01292442
-0,15;0,0142932
-0,1;0,01573859
-0,05;0,0172574
0;0,0192707
0,05;0,02059405
0,1;0,02315761
0,15;0,02490789
0,2;0,0267459
0,25;0,0286233
0,3;0,03052867
0,35;0,03246051
0,4;0,03440297
0,45;0,03637277
0,5;0,03837219
0,55;0,04038228
0,6;0,04240187
0,65;0,04444978
0,7;0,04652165
0,75;0,04860501
0,8;0,0506889
0,85;0,05277509
0,9;0,05485551
0,95;0,05689692
1;0,0589102
1,05;0,06089822
1,1;0,06284095
1,15;0,06474117
1,2;0,06660539
1,25;0,06841663
1,3;0,07020556
1,35;0,07194343
1,4;0,07363386
1,45;0,0752899
1,5;0,07692319
1,55;0,07851747
1,6;0,08007488
1,65;0,08160285
1,7;0,08312182
1,75;0,0846042
1,8;0,08604908
1,85;0,08746603
1,9;0,08884962
1,95;0,09023084
2;0,0915838
2,05;0,09292513
2,1;0,09423992
2,15;0,09555647
2,2;0,09683325
2,25;0,09810982
2,3;0,09936489
2,35;0,1006027
2,4;0,1018158
2,45;0,1030049
2,5;0,1041877
2,55;0,105352
2,6;0,1064936
2,65;0,1076173
2,7;0,1087223
2,75;0,1098135
2,8;0,1108859
2,85;0,1119269
2,9;0,112959
2,95;0,1139728
3;0,1149698
3,05;0,115952
3,1;0,1169147
3,15;0,1178638
3,2;0,1187924
3,25;0,1197041
3,3;0,1206107
3,35;0,1215077
3,4;0,1223917
3,45;0,1232622
3,5;0,1241251
3,55;0,1249847
3,6;0,1258344
3,65;0,126674
3,7;0,127508
3,75;0,1283549
3,8;0,1291885
3,85;0,1300066
3,9;0,1308197
3,95;0,1316412
4;0,1324497
4,05;0,1332495
4,1;0,1340384
4,15;0,1348176
4,2;0,135596
4,25;0,1363559
4,3;0,1371131
4,35;0,1378584
4,4;0,1385912
4,45;0,1393142
4,5;0,1400264
4,55;0,1407323
4,6;0,1414288
4,65;0,1421132
4,7;0,1427786
4,75;0,1434434
4,8;0,1441053
4,85;0,1447442
4,9;0,1453786
4,95;0,1459941
5;0,1466038
