Tensao [V];Corrente [A]
-5;-0,0001053261
-4,95;-9,057757E-05
-4,9;-8,26389E-05
-4,85;-7,687328E-05
-4,8;-7,421602E-05
-4,75;-7,187623E-05
-4,7;-7,123523E-05
-4,65;-7,036499E-05
-4,6;-7,009533E-05
-4,55;-6,896159E-05
-4,5;-6,429421E-05
-4,45;-6,269593E-05
-4,4;-6,469377E-05
-4,35;-6,329285E-05
-4,3;-5,949937E-05
-4,25;-5,619859E-05
-4,2;-5,172611E-05
-4,15;-6,71696E-05
-4,1;-6,002148E-05
-4,05;-5,883749E-05
-4;-5,773316E-05
-3,95;-5,912675E-05
-3,9;-5,832513E-05
-3,85;-5,639964E-05
-3,8;-5,532472E-05
-3,75;-5,628441E-05
-3,7;-5,694138E-05
-3,65;-5,688499E-05
-3,6;-5,499501E-05
-3,55;-4,647038E-05
-3,5;-5,017563E-05
-3,45;-5,059238E-05
-3,4;-4,938628E-05
-3,35;-5,374847E-05
-3,3;-5,227278E-05
-3,25;-4,589435E-05
-3,2;-4,735538E-05
-3,15;-4,537831E-05
-3,1;-4,464417E-05
-3,05;-4,31856E-05
-3;-4,189862E-05
-2,95;-4,135322E-05
-2,9;-3,70413E-05
-2,85;-3,317184E-05
-2,8;-3,281517E-05
-2,75;-3,074746E-05
-2,7;-3,177335E-05
-2,65;-3,023879E-05
-2,6;-3,29169E-05
-2,55;-3,182361E-05
-2,5;-2,737685E-05
-2,45;-2,223025E-05
-2,4;-2,298648E-05
-2,35;-1,000902E-05
-2,3;-1,464454E-05
-2,25;-1,708241E-05
-2,2;-1,511273E-05
-2,15;-7,962147E-06
-2,1;5,178436E-06
-2,05;-5,931206E-06
-2;1,241477E-06
-1,95;6,247248E-06
-1,9;1,828241E-05
-1,85;2,653383E-05
-1,8;3,121603E-05
-1,75;2,598229E-05
-1,7;3,122337E-05
-1,65;4,406627E-05
-1,6;6,195541E-05
-1,55;7,43987E-05
-1,5;7,94927E-05
-1,45;9,817981E-05
-1,4;0,0001244171
-1,35;0,0001517602
-1,3;0,0001905537
-1,25;0,0002502122
-1,2;0,0003296352
-1,15;0,0004090019
-1,1;0,0005239214
-1,05;0,0006834525
-1;0,0008699568
-0,95;0,001092207
-0,9;0,001367456
-0,85;0,001670457
-0,8;0,002028654
-0,75;0,002561487
-0,7;0,002944702
-0,65;0,00351418
-0,6;0,004206385
-0,55;0,004999076
-0,5;0,005895954
-0,45;0,006884498
-0,4;0,007966865
-0,35;0,00911909
-0,3;0,01032617
-0,25;0,01157887
-0,2;0,01288325
-0,15;0,01424964
-0,1;0,01569227
-0,05;0,01721126
0;0,01916422
0,05;0,02052099
0,1;0,02305942
0,15;0,0248523
0,2;0,02669447
0,25;0,02856272
0,3;0,03046366
0,35;0,03238859
0,4;0,03434714
0,45;0,03632185
0,5;0,03831497
0,55;0,04032781
0,6;0,04234978
0,65;0,04439356
0,7;0,04646154
0,75;0,04854659
0,8;0,05062314
0,85;0,05270982
0,9;0,05478462
0,95;0,05682722
1;0,05884086
1,05;0,06081667
1,1;0,06275688
1,15;0,06466212
1,2;0,06652008
1,25;0,06833551
1,3;0,07012
1,35;0,07185989
1,4;0,07354765
1,45;0,07521438
1,5;0,07684231
1,55;0,07844019
1,6;0,0799889
1,65;0,08151499
1,7;0,08301836
1,75;0,08449946
1,8;0,08594885
1,85;0,08736831
1,9;0,08875871
1,95;0,09014434
2;0,09148674
2,05;0,09283313
2,1;0,09414814
2,15;0,09545794
2,2;0,09673538
2,25;0,09799749
2,3;0,09924744
2,35;0,1004881
2,4;0,101709
2,45;0,1029019
2,5;0,1040849
2,55;0,1052372
2,6;0,1063829
2,65;0,1074964
2,7;0,108605
2,75;0,1096969
2,8;0,1107716
2,85;0,1118203
2,9;0,1128472
2,95;0,1138717
3;0,1148769
3,05;0,1158432
3,1;0,1168065
3,15;0,1177547
3,2;0,1186945
3,25;0,1196088
3,3;0,1205096
3,35;0,1214134
3,4;0,1222953
3,45;0,1231663
3,5;0,1240548
3,55;0,1249263
3,6;0,1257525
3,65;0,1265978
3,7;0,1274251
3,75;0,1282595
3,8;0,1290914
3,85;0,1299069
3,9;0,1307221
3,95;0,1315386
4;0,1323456
4,05;0,1331373
4,1;0,1339238
4,15;0,1347039
4,2;0,1354792
4,25;0,1362381
4,3;0,1369845
4,35;0,1377279
4,4;0,1384696
4,45;0,1391909
4,5;0,1399003
4,55;0,1405991
4,6;0,141295
4,65;0,1419679
4,7;0,1426373
4,75;0,1432967
4,8;0,1439632
4,85;0,1445988
4,9;0,1452264
4,95;0,1458468
5;0,1464607
