Cor,Frequencia (10^14 Hz),Sigma (10^14 Hz),V0 M1,Erro V0 M1,V0 M2,Erro V0 M2,V0 M3,Erro V0 M3
Verde,5.902855132560383,0.2203823955273281,-1.115092942411743,0.0037105231866039,-0.31921179176000003,0.0457980183897008,-1.1,0.025
Azul,6.522000727902381,0.1882645660390583,-1.071048017510916,0.0007327701428306,-0.22644112544,0.030264069331076726,-1.05,0.025
Amarelo,4.996481456098397,0.0897486457232859,-0.6936215645741632,0.0795499776381632,-0.20364001232,0.019427050907947115,-0.55,0.025
Vermelho,4.715968868725091,0.1028755247579998,-0.5993575999021997,0.143912880362561,-0.15125514212,0.02337741375457759,-0.4,0.025
Violeta,7.639183593134074,0.2695146666605984,-1.813748070413888,0.0531448450360289,-0.59344166978,0.0610240117699237,-1.7,0.025
