Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-5.0,0.025,-0.0024513924,1.779270975053174e-05,-8.9426832e-05,-0.002361965568,1.7889164481015797e-05
-4.95,0.025,-0.0025006307,2.5059174877787664e-06,-7.9908938e-05,-0.0024207217620000002,2.9440673066907686e-06
-4.9,0.025,-0.0024998175000000003,1.832786175926331e-06,-7.386651399999999e-05,-0.0024259509860000005,2.2572912495946683e-06
-4.85,0.025,-0.0024969817,1.7259957544688566e-06,-6.9607798e-05,-0.002427373902,2.103761857878528e-06
-4.8,0.025,-0.0024945891,2.15934025160982e-06,-6.6695672e-05,-0.0024278934280000004,2.349494643501526e-06
-4.75,0.025,-0.0024922412,2.379548453897089e-06,-6.442439e-05,-0.00242781681,2.579456186920806e-06
-4.7,0.025,-0.0024899706,1.786557844944647e-06,-6.2209244e-05,-0.002427761356,2.128827889488312e-06
-4.65,0.025,-0.0024878999,1.6711401596913672e-06,-6.0062976e-05,-0.002427836924,2.0811154810253305e-06
-4.6,0.025,-0.0024858611000000003,1.925837390735607e-06,-5.8029204e-05,-0.0024278318960000004,2.3018614790502338e-06
-4.55,0.025,-0.0024843801,2.1334317399178896e-06,-5.6552449999999994e-05,-0.00242782765,2.3951036759061334e-06
-4.5,0.025,-0.0024826668,2.0710521641587196e-06,-5.477290800000001e-05,-0.002427893892,2.2589746119172115e-06
-4.45,0.025,-0.0024807806000000003,1.449492493560733e-06,-5.298627e-05,-0.0024277943300000005,1.7022386935265312e-06
-4.4,0.025,-0.0024790559000000003,1.936041232917267e-06,-5.176275000000001e-05,-0.0024272931500000003,2.1256013602286323e-06
-4.35,0.025,-0.0024777959,2.1992010897899417e-06,-5.0586266e-05,-0.002427209634,2.3075089806137845e-06
-4.3,0.025,-0.0024765248,1.9766820572756064e-06,-4.9071492000000004e-05,-0.002427453308,2.0802458409585443e-06
-4.25,0.025,-0.0024747672,2.1032925933719215e-06,-4.762464e-05,-0.00242714256,2.1861704445406775e-06
-4.2,0.025,-0.0024732078,2.4119050930286724e-06,-4.6141238e-05,-0.002427066562,2.4566921242694716e-06
-4.15,0.025,-0.0024718297,2.4330160089896973e-06,-4.4983384e-05,-0.002426846316,2.4777542208278356e-06
-4.1,0.025,-0.0024703162000000002,1.9397735721240415e-06,-4.3714994e-05,-0.002426601206,2.029832411663797e-06
-4.05,0.025,-0.0024687313999999998,1.8600661398037405e-06,-4.2077651999999994e-05,-0.0024266537479999996,1.9778286572942538e-06
-4.0,0.025,-0.0024673139000000004,1.98614234971548e-06,-4.095267200000001e-05,-0.0024263612280000005,2.170589185417943e-06
-3.95,0.025,-0.0024660868999999996,2.4524574727313576e-06,-3.9411906000000004e-05,-0.0024266749939999997,2.9393194926012858e-06
-3.9,0.025,-0.0024646556,2.483002626749359e-06,-3.8099146e-05,-0.0024265564539999998,2.7544272413106543e-06
