Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-0.9,0.025,0.0066003329,7.366069152992473e-06,1.8783502000000003e-05,0.006581549398,7.426267017589473e-06
-0.85,0.025,0.010717014,1.173698541648003e-05,1.8880354e-05,0.010698133646,1.189595015934393e-05
-0.8,0.025,0.016810341,1.5859176418297097e-05,1.9536872e-05,0.016790804128,1.5941921370300404e-05
-0.75,0.025,0.030086121000000004,2.9536284822420355e-05,2.0455212e-05,0.030065665788000004,2.9557340974145645e-05
-0.7,0.025,0.043183465,3.7406795951182935e-05,2.1417428e-05,0.043162047572,3.741692914521789e-05
-0.65,0.025,0.059782309,4.6046976604815415e-05,2.2762591999999996e-05,0.059759546408,4.60789321790706e-05
-0.6,0.025,0.07996479100000001,5.683053178823188e-05,2.3352684e-05,0.07994143831600001,5.683849147771661e-05
-0.55,0.025,0.1039824,7.23852348357193e-05,2.3694182e-05,0.103958705818,7.23917206440557e-05
-0.5,0.025,0.13234182999999997,8.656722564316964e-05,2.4603453999999997e-05,0.13231722654599998,8.657339494773627e-05
-0.45,0.025,0.16539911000000002,0.00010320413912887991,2.5547054e-05,0.165373562946,0.00010320701137226981
-0.4,0.025,0.20311418000000003,0.00011646377405299141,2.6360713999999998e-05,0.20308781928600003,0.0001164661666107785
-0.35,0.025,0.24487974,0.00012525471115557813,2.7266552e-05,0.244852473448,0.0001252566349886577
-0.3,0.025,0.29018668000000003,0.0001382108437617427,2.8268489999999998e-05,0.29015841151000005,0.00013821147417070228
-0.25,0.025,0.33821352000000005,0.00015124262185860164,2.9510202000000003e-05,0.33818400979800006,0.0001512445192313779
-0.2,0.025,0.38853533,0.00016575469860945352,3.0085094e-05,0.388505244906,0.00016575525527095318
-0.15,0.025,0.44093685000000005,0.00017959865286552534,3.0771268e-05,0.44090607873200005,0.0001795992324889065
-0.1,0.025,0.4952878,0.00019431511063790018,3.1884022e-05,0.495255915978,0.00019431521969895965
-0.05,0.025,0.55166604,0.00021136065123123437,3.3515506e-05,0.551632524494,0.0002113704402543864
0.0,0.025,0.6107110600000001,0.00022323626845911396,3.3646916e-05,0.610677413084,0.00022324261478892584
0.05,0.025,0.6715214599999999,0.0002492130155331258,3.221989e-05,0.6714892401099999,0.00024921524281880863
0.1,0.025,0.7350456799999999,0.0002638068266322419,3.1625634e-05,0.7350140543659999,0.000263807771509384
0.15,0.025,0.8011114000000001,0.0002891650624355204,3.1684718e-05,0.8010797152820002,0.0002891657000967563
0.2,0.025,0.86978582,0.0002991522124641903,3.130619e-05,0.86975451381,0.0002991575756467024
0.25,0.025,0.9411392600000001,0.0003306257474681622,3.1617785999999996e-05,0.9411076422140001,0.00033063258378728715
0.3,0.025,1.0151459,0.00034962406794854944,3.3233604000000004e-05,1.015112666396,0.00034962535761139243
0.35,0.025,1.0917264999999998,0.0003694025957918908,3.3847948e-05,1.0916926520519998,0.0003694040826490996
0.4,0.025,1.1708797999999998,0.0003903254482551381,3.3974690000000005e-05,1.1708458253099998,0.00039032587513214363
0.45,0.025,1.2525998,0.00041869845951468136,3.432895e-05,1.25256547105,0.0004186998470637646
0.5,0.025,1.336834,0.0004359882771104968,3.4812382e-05,1.336799187618,0.0004359899422160122
0.55,0.025,1.4235147,0.00045034407833217504,3.5734409999999995e-05,1.42347896559,0.0004503455705945688
0.6,0.025,1.5125422,0.0004771344557762296,3.6202898e-05,1.5125059971019998,0.0004771381934104395
0.65,0.025,1.6037818000000001,0.0004993588778513168,3.6896430000000003e-05,1.6037449035700002,0.0004993634714741157
0.7,0.025,1.6970537,0.0005177554227410673,3.79452e-05,1.6970157548000002,0.0005177581894966507
0.75,0.025,1.7921665,0.0005312306989957857,3.9042264e-05,1.792127457736,0.0005312313646853224
0.8,0.025,1.8889041000000002,0.0005675071120454941,3.9845128e-05,1.8888642548720003,0.0005675079878777007
