Cor,Frequencia (10^14 Hz),Sigma (10^14 Hz)
Vd,5.902855132560383,0.2203823955273281
Az,6.522000727902381,0.1882645660390583
Am,4.996481456098397,0.0897486457232859
Vm,4.715968868725091,0.1028755247579998
Viol,7.639183593134074,0.2695146666605984
