Tensao [V];Corrente [A]
-5;-8,801896E-05
-4,95;-7,623899E-05
-4,9;-7,027721E-05
-4,85;-6,765788E-05
-4,8;-6,623248E-05
-4,75;-6,510731E-05
-4,7;-6,262407E-05
-4,65;-6,082965E-05
-4,6;-6,141552E-05
-4,55;-5,966888E-05
-4,5;-5,842121E-05
-4,45;-5,681428E-05
-4,4;-5,639881E-05
-4,35;-5,61267E-05
-4,3;-5,409204E-05
-4,25;-5,280022E-05
-4,2;-5,285535E-05
-4,15;-5,225964E-05
-4,1;-5,134286E-05
-4,05;-4,905324E-05
-4;-4,883267E-05
-3,95;-4,909249E-05
-3,9;-4,767316E-05
-3,85;-4,629917E-05
-3,8;-4,630161E-05
-3,75;-4,571205E-05
-3,7;-4,490681E-05
-3,65;-4,331463E-05
-3,6;-4,287459E-05
-3,55;-4,283782E-05
-3,5;-4,230711E-05
-3,45;-4,056661E-05
-3,4;-4,004205E-05
-3,35;-4,032151E-05
-3,3;-3,910315E-05
-3,25;-3,82207E-05
-3,2;-3,741292E-05
-3,15;-3,748159E-05
-3,1;-3,775612E-05
-3,05;-3,578401E-05
-3;-3,529128E-05
-2,95;-3,560017E-05
-2,9;-3,494929E-05
-2,85;-3,375919E-05
-2,8;-3,296495E-05
-2,75;-3,185449E-05
-2,7;-3,20849E-05
-2,65;-3,068273E-05
-2,6;-2,883562E-05
-2,55;-2,897411E-05
-2,5;-2,882826E-05
-2,45;-2,732681E-05
-2,4;-2,615258E-05
-2,35;-2,539879E-05
-2,3;-2,602758E-05
-2,25;-2,490974E-05
-2,2;-2,333842E-05
-2,15;-2,2478E-05
-2,1;-2,289963E-05
-2,05;-2,330041E-05
-2;-2,108193E-05
-1,95;-1,947505E-05
-1,9;-1,986604E-05
-1,85;-1,902523E-05
-1,8;-1,811455E-05
-1,75;-1,745269E-05
-1,7;-1,74012E-05
-1,65;-1,733379E-05
-1,6;-1,588013E-05
-1,55;-1,463482E-05
-1,5;-1,376091E-05
-1,45;-1,358687E-05
-1,4;-1,227661E-05
-1,35;-1,045893E-05
-1,3;-1,064891E-05
-1,25;-1,071632E-05
-1,2;-8,838571E-06
-1,15;-7,291754E-06
-1,1;-6,427646E-06
-1,05;-6,188642E-06
-1;-5,068364E-06
-0,95;-2,938124E-06
-0,9;-1,315319E-06
-0,85;1,628601E-07
-0,8;2,671891E-06
-0,75;7,560029E-06
-0,7;1,159261E-05
-0,65;1,923371E-05
-0,6;3,162074E-05
-0,55;5,608959E-05
-0,5;0,0001012963
-0,45;0,0001838712
-0,4;0,000329227
-0,35;0,0005647731
-0,3;0,0009232655
-0,25;0,001452798
-0,2;0,002498613
-0,15;0,003247248
-0,1;0,004539227
-0,05;0,006166935
0;0,008467938
0,05;0,01011176
0,1;0,01215335
0,15;0,01424099
0,2;0,0162994
0,25;0,01832004
0,3;0,02031256
0,35;0,02323664
0,4;0,02517262
0,45;0,02709541
0,5;0,02897209
0,55;0,03083482
0,6;0,03268993
0,65;0,0345311
0,7;0,03631961
0,75;0,03807049
0,8;0,03980973
0,85;0,0415231
0,9;0,04317289
0,95;0,04477521
1;0,04634407
1,05;0,04789042
1,1;0,04937419
1,15;0,0507889
1,2;0,05216916
1,25;0,05350771
1,3;0,0547955
1,35;0,05601599
1,4;0,05719283
1,45;0,05834368
1,5;0,05943867
1,55;0,06045724
1,6;0,06144785
1,65;0,06240184
1,7;0,06331046
1,75;0,06415701
1,8;0,06496165
1,85;0,06575745
1,9;0,06651404
1,95;0,06722264
2;0,06789764
2,05;0,06856449
2,1;0,06921116
2,15;0,06982482
2,2;0,07040965
2,25;0,07098162
2,3;0,0715509
2,35;0,0720951
2,4;0,07260132
2,45;0,07310643
2,5;0,07360842
2,55;0,074089
2,6;0,07454559
2,65;0,07499077
2,7;0,0754367
2,75;0,07586787
2,8;0,07626835
2,85;0,07665261
2,9;0,0770384
2,95;0,07741976
3;0,07776633
3,05;0,07809443
3,1;0,07842144
3,15;0,07874598
3,2;0,07903962
3,25;0,07931662
3,3;0,07959788
3,35;0,07987347
3,4;0,08013672
3,45;0,08038119
3,5;0,08063155
3,55;0,08088492
3,6;0,0811436
3,65;0,08137127
3,7;0,08160787
3,75;0,08186291
3,8;0,08210875
3,85;0,08235283
3,9;0,08258516
3,95;0,08284456
4;0,08310062
4,05;0,08334811
4,1;0,08359341
4,15;0,08384777
4,2;0,08411514
4,25;0,08435787
4,3;0,08460435
4,35;0,08485566
4,4;0,08511631
4,45;0,08536467
4,5;0,08560267
4,55;0,0858462
4,6;0,08609836
4,65;0,0863439
4,7;0,08657974
4,75;0,08681801
4,8;0,08706314
4,85;0,08729818
4,9;0,08752156
4,95;0,08774411
5;0,0879854
