Tensao [V];Corrente [A]
-5;-0,0001241973
-4,95;-0,0001110457
-4,9;-0,0001052078
-4,85;-0,0001027858
-4,8;-0,0001011851
-4,75;-9,860386E-05
-4,7;-9,70693E-05
-4,65;-9,554455E-05
-4,6;-9,278545E-05
-4,55;-9,207712E-05
-4,5;-9,142247E-05
-4,45;-9,041633E-05
-4,4;-8,989168E-05
-4,35;-8,760825E-05
-4,3;-8,665097E-05
-4,25;-8,675639E-05
-4,2;-8,587264E-05
-4,15;-8,493998E-05
-4,1;-8,380742E-05
-4,05;-8,315657E-05
-4;-8,171394E-05
-3,95;-8,15473E-05
-3,9;-7,975654E-05
-3,85;-8,130215E-05
-3,8;-8,027254E-05
-3,75;-7,93435E-05
-3,7;-7,880784E-05
-3,65;-7,797802E-05
-3,6;-7,769251E-05
-3,55;-7,677198E-05
-3,5;-7,54054E-05
-3,45;-7,506706E-05
-3,4;-7,422746E-05
-3,35;-7,400803E-05
-3,3;-7,230196E-05
-3,25;-7,138511E-05
-3,2;-7,18484E-05
-3,15;-6,912248E-05
-3,1;-6,847904E-05
-3,05;-6,805124E-05
-3;-6,755486E-05
-2,95;-6,830375E-05
-2,9;-6,65706E-05
-2,85;-6,592965E-05
-2,8;-6,560118E-05
-2,75;-6,520152E-05
-2,7;-6,427733E-05
-2,65;-6,299167E-05
-2,6;-6,22415E-05
-2,55;-6,201846E-05
-2,5;-6,139827E-05
-2,45;-5,978768E-05
-2,4;-5,921411E-05
-2,35;-5,858899E-05
-2,3;-5,68951E-05
-2,25;-5,644893E-05
-2,2;-5,54292E-05
-2,15;-5,491686E-05
-2,1;-5,397675E-05
-2,05;-5,199362E-05
-2;-5,167126E-05
-1,95;-5,114051E-05
-1,9;-4,883745E-05
-1,85;-4,669622E-05
-1,8;-4,637753E-05
-1,75;-4,598038E-05
-1,7;-4,646579E-05
-1,65;-4,442131E-05
-1,6;-4,40855E-05
-1,55;-4,376683E-05
-1,5;-4,271272E-05
-1,45;-4,192953E-05
-1,4;-4,125541E-05
-1,35;-4,001745E-05
-1,3;-3,924652E-05
-1,25;-3,737856E-05
-1,2;-3,608667E-05
-1,15;-3,580236E-05
-1,1;-3,434378E-05
-1,05;-3,293302E-05
-1;-3,179678E-05
-0,95;-2,995092E-05
-0,9;-2,891155E-05
-0,85;-2,630941E-05
-0,8;-2,209676E-05
-0,75;-1,830818E-05
-0,7;-1,065134E-05
-0,65;1,156909E-06
-0,6;2,188487E-05
-0,55;6,316061E-05
-0,5;0,0001451777
-0,45;0,0003031716
-0,4;0,0005776384
-0,35;0,001019509
-0,3;0,001707957
-0,25;0,003221844
-0,2;0,004310083
-0,15;0,006363802
-0,1;0,00912869
-0,05;0,01253489
0;0,01734105
0,05;0,02077876
0,1;0,02715971
0,15;0,03142138
0,2;0,03559563
0,25;0,03972097
0,3;0,04384835
0,35;0,04795876
0,4;0,05204075
0,45;0,05606869
0,5;0,0600601
0,55;0,06399333
0,6;0,06786683
0,65;0,07168913
0,7;0,07545995
0,75;0,07916133
0,8;0,08277493
0,85;0,08630837
0,9;0,08975253
0,95;0,09309908
1;0,09634378
1,05;0,09949429
1,1;0,1025694
1,15;0,105548
1,2;0,1084259
1,25;0,111207
1,3;0,1138817
1,35;0,1164573
1,4;0,1189151
1,45;0,1212691
1,5;0,1235093
1,55;0,125632
1,6;0,1276602
1,65;0,129568
1,7;0,1313811
1,75;0,1330962
1,8;0,1347336
1,85;0,1362801
1,9;0,1377726
1,95;0,1391928
2;0,1405636
2,05;0,1418788
2,1;0,1431465
2,15;0,1443643
2,2;0,1455586
2,25;0,1467023
2,3;0,1478185
2,35;0,1488971
2,4;0,1499455
2,45;0,1509631
2,5;0,1519518
2,55;0,1529212
2,6;0,1538668
2,65;0,1547865
2,7;0,1556783
2,75;0,1565537
2,8;0,1574091
2,85;0,1582321
2,9;0,1590219
2,95;0,1597935
3;0,1605341
3,05;0,1612382
3,1;0,1619084
3,15;0,1625577
3,2;0,1631824
3,25;0,163778
3,3;0,1643387
3,35;0,1648914
3,4;0,165444
3,45;0,1659748
3,5;0,1664935
3,55;0,1669942
3,6;0,1675171
3,65;0,1680195
3,7;0,1685258
3,75;0,169027
3,8;0,1695095
3,85;0,1700227
3,9;0,1705689
3,95;0,1710796
4;0,1716008
4,05;0,1721308
4,1;0,1726283
4,15;0,1731217
4,2;0,1736342
4,25;0,1741289
4,3;0,1746017
4,35;0,1750609
4,4;0,1755232
4,45;0,175977
4,5;0,1764647
4,55;0,1770047
4,6;0,1774128
4,65;0,177872
4,7;0,1783227
4,75;0,1787791
4,8;0,1792349
4,85;0,1796877
4,9;0,1801305
4,95;0,1805618
5;0,1810372
