Tensao [V];Corrente [A]
-5;-8,431988E-05
-4,95;-7,214515E-05
-4,9;-6,696545E-05
-4,85;-6,516366E-05
-4,8;-6,42113E-05
-4,75;-6,166309E-05
-4,7;-5,978044E-05
-4,65;-5,987482E-05
-4,6;-5,849592E-05
-4,55;-5,61463E-05
-4,5;-5,77262E-05
-4,45;-5,692584E-05
-4,4;-5,761713E-05
-4,35;-5,641224E-05
-4,3;-5,321077E-05
-4,25;-5,352941E-05
-4,2;-5,31225E-05
-4,15;-5,187724E-05
-4,1;-5,08771E-05
-4,05;-4,829579E-05
-4;-4,87983E-05
-3,95;-4,785698E-05
-3,9;-4,541912E-05
-3,85;-4,580154E-05
-3,8;-4,594003E-05
-3,75;-4,576723E-05
-3,7;-4,456236E-05
-3,65;-4,321654E-05
-3,6;-4,385144E-05
-3,55;-4,449738E-05
-3,5;-4,207054E-05
-3,45;-4,083505E-05
-3,4;-4,07333E-05
-3,35;-4,134491E-05
-3,3;-3,974295E-05
-3,25;-3,793508E-05
-3,2;-3,670081E-05
-3,15;-3,861659E-05
-3,1;-3,798532E-05
-3,05;-3,129556E-05
-3;-3,197702E-05
-2,95;-3,231656E-05
-2,9;-3,141569E-05
-2,85;-2,923028E-05
-2,8;-2,960778E-05
-2,75;-3,003923E-05
-2,7;-2,069339E-05
-2,65;-2,371592E-05
-2,6;-2,609376E-05
-2,55;-2,842744E-05
-2,5;-2,960044E-05
-2,45;-2,875717E-05
-2,4;-2,633645E-05
-2,35;-2,697014E-05
-2,3;-2,721158E-05
-2,25;-2,443664E-05
-2,2;-2,419148E-05
-2,15;-2,329551E-05
-2,1;-2,390712E-05
-2,05;-2,37956E-05
-2;-2,070074E-05
-1,95;-2,148273E-05
-1,9;-2,228065E-05
-1,85;-2,068481E-05
-1,8;-1,864525E-05
-1,75;-1,890389E-05
-1,7;-1,906935E-05
-1,65;-1,870165E-05
-1,6;-1,678101E-05
-1,55;-1,528445E-05
-1,5;-1,621351E-05
-1,45;-1,501111E-05
-1,4;-1,372047E-05
-1,35;-1,103867E-05
-1,3;-1,025301E-05
-1,25;-1,055453E-05
-1,2;-1,019541E-05
-1,15;-8,791998E-06
-1,1;-7,94259E-06
-1,05;-7,650875E-06
-1;-6,607825E-06
-0,95;-3,178358E-06
-0,9;-1,776176E-06
-0,85;-1,382731E-06
-0,8;1,008601E-06
-0,75;5,397869E-06
-0,7;1,080571E-05
-0,65;1,693918E-05
-0,6;2,967307E-05
-0,55;5,401448E-05
-0,5;9,935597E-05
-0,45;0,0001824114
-0,4;0,000327304
-0,35;0,0005623477
-0,3;0,0009201335
-0,25;0,001449275
-0,2;0,002496554
-0,15;0,003244937
-0,1;0,004530683
-0,05;0,006154176
0;0,008451302
0,05;0,01009866
0,1;0,0121431
0,15;0,01422977
0,2;0,01628161
0,25;0,01829814
0,3;0,02028523
0,35;0,02320869
0,4;0,02514013
0,45;0,02705291
0,5;0,02893622
0,55;0,03079558
0,6;0,03265317
0,65;0,03448985
0,7;0,03628161
0,75;0,0380282
0,8;0,0397676
0,85;0,04146679
0,9;0,04312161
0,95;0,04472805
1;0,04629878
1,05;0,04783425
1,1;0,04932189
1,15;0,05073863
1,2;0,05211719
1,25;0,05346795
1,3;0,05475275
1,35;0,05597646
1,4;0,05715673
1,45;0,05830031
1,5;0,05939999
1,55;0,06042962
1,6;0,06140583
1,65;0,06235239
1,7;0,06326016
1,75;0,06410727
1,8;0,06490232
1,85;0,06568318
1,9;0,06643766
1,95;0,06715068
2;0,06783119
2,05;0,06848526
2,1;0,06913004
2,15;0,06975685
2,2;0,07033195
2,25;0,07090782
2,3;0,07147418
2,35;0,0720143
2,4;0,07252373
2,45;0,07303048
2,5;0,07352918
2,55;0,07401025
2,6;0,0744621
2,65;0,07489518
2,7;0,07534384
2,75;0,07577578
2,8;0,07618019
2,85;0,0765713
2,9;0,07694625
2,95;0,07732761
3;0,07767919
3,05;0,0780055
3,1;0,07833869
3,15;0,07865692
3,2;0,07895659
3,25;0,07922389
3,3;0,07950064
3,35;0,07978083
3,4;0,08004698
3,45;0,08028695
3,5;0,08053183
3,55;0,08078974
3,6;0,08104707
3,65;0,08128175
3,7;0,08152089
3,75;0,08177029
3,8;0,08202077
3,85;0,08225914
3,9;0,08249631
3,95;0,08275314
4;0,08300788
4,05;0,08325842
4,1;0,08349514
4,15;0,08374567
4,2;0,08401157
4,25;0,08426605
4,3;0,08450054
4,35;0,08475057
4,4;0,08501355
4,45;0,08527011
4,5;0,08550572
4,55;0,08574695
4,6;0,08600843
4,65;0,08625568
4,7;0,0864903
4,75;0,08671793
4,8;0,08695979
4,85;0,0872047
4,9;0,0874312
4,95;0,08764673
5;0,08787233
