Tensao [V];Corrente [A]
-5;-0,000130583
-4,95;-0,0001180846
-4,9;-0,0001127751
-4,85;-0,0001096434
-4,8;-0,0001077767
-4,75;-0,000105785
-4,7;-0,0001045605
-4,65;-0,0001037173
-4,6;-0,0001025614
-4,55;-0,0001007989
-4,5;-9,951561E-05
-4,45;-9,898361E-05
-4,4;-9,792966E-05
-4,35;-9,745526E-05
-4,3;-9,565843E-05
-4,25;-9,466068E-05
-4,2;-9,336266E-05
-4,15;-9,208551E-05
-4,1;-9,100203E-05
-4,05;-9,020165E-05
-4;-8,971019E-05
-3,95;-8,940378E-05
-3,9;-8,806775E-05
-3,85;-8,762035E-05
-3,8;-8,678573E-05
-3,75;-8,588241E-05
-3,7;-8,446552E-05
-3,65;-8,452062E-05
-3,6;-8,42914E-05
-3,55;-8,352049E-05
-3,5;-8,279488E-05
-3,45;-8,183027E-05
-3,4;-8,092198E-05
-3,35;-8,044036E-05
-3,3;-7,926371E-05
-3,25;-7,8972E-05
-3,2;-7,843146E-05
-3,15;-7,737737E-05
-3,1;-7,63417E-05
-3,05;-7,583056E-05
-3;-7,570187E-05
-2,95;-7,441492E-05
-2,9;-7,327993E-05
-2,85;-7,228468E-05
-2,8;-7,147576E-05
-2,75;-7,118158E-05
-2,7;-7,141564E-05
-2,65;-7,131025E-05
-2,6;-7,0342E-05
-2,55;-6,973643E-05
-2,5;-6,798991E-05
-2,45;-6,679977E-05
-2,4;-6,661344E-05
-2,35;-6,530812E-05
-2,3;-6,461681E-05
-2,25;-6,343644E-05
-2,2;-6,279911E-05
-2,15;-6,188844E-05
-2,1;-5,984641E-05
-2,05;-5,900316E-05
-2;-5,794906E-05
-1,95;-5,675284E-05
-1,9;-5,603461E-05
-1,85;-5,54965E-05
-1,8;-5,576006E-05
-1,75;-5,469858E-05
-1,7;-5,311015E-05
-1,65;-5,179499E-05
-1,6;-5,115515E-05
-1,55;-5,054844E-05
-1,5;-4,913034E-05
-1,45;-4,838759E-05
-1,4;-4,775634E-05
-1,35;-4,618377E-05
-1,3;-4,532583E-05
-1,25;-4,392487E-05
-1,2;-4,293329E-05
-1,15;-4,158138E-05
-1,1;-4,065475E-05
-1,05;-3,943521E-05
-1;-3,798524E-05
-0,95;-3,594817E-05
-0,9;-3,34931E-05
-0,85;-3,124767E-05
-0,8;-2,747378E-05
-0,75;-2,324151E-05
-0,7;-1,601736E-05
-0,65;-4,193211E-06
-0,6;1,624292E-05
-0,55;5,900781E-05
-0,5;0,0001439151
-0,45;0,0003057846
-0,4;0,0005886912
-0,35;0,001047372
-0,3;0,00176369
-0,25;0,003354571
-0,2;0,004504202
-0,15;0,006695508
-0,1;0,009663067
-0,05;0,01333759
0;0,01854548
0,05;0,02444764
0,1;0,02916559
0,15;0,03378624
0,2;0,03830222
0,25;0,04276787
0,3;0,04723568
0,35;0,05169084
0,4;0,05610409
0,45;0,06046083
0,5;0,06476985
0,55;0,06900984
0,6;0,07319391
0,65;0,07732044
0,7;0,08138291
0,75;0,08535994
0,8;0,08925559
0,85;0,09304635
0,9;0,09674078
0,95;0,1003257
1;0,1038215
1,05;0,1072057
1,1;0,1104959
1,15;0,1136996
1,2;0,1167795
1,25;0,1197563
1,3;0,1226293
1,35;0,1253735
1,4;0,1280079
1,45;0,1305162
1,5;0,1329057
1,55;0,1351769
1,6;0,1373218
1,65;0,1393499
1,7;0,1412642
1,75;0,1430894
1,8;0,1448152
1,85;0,1464709
1,9;0,1480493
1,95;0,1495584
2;0,1510209
2,05;0,1524162
2,1;0,1537596
2,15;0,155071
2,2;0,1563311
2,25;0,1575497
2,3;0,1587319
2,35;0,159887
2,4;0,161006
2,45;0,1620908
2,5;0,1631562
2,55;0,1641845
2,6;0,1651946
2,65;0,16617
2,7;0,1671405
2,75;0,1680552
2,8;0,1689683
2,85;0,1698501
2,9;0,1706945
2,95;0,1715089
3;0,1722952
3,05;0,1730417
3,1;0,17376
3,15;0,17445
3,2;0,1751128
3,25;0,1757434
3,3;0,1763565
3,35;0,1769557
3,4;0,1775297
3,45;0,1780881
3,5;0,1786501
3,55;0,1791922
3,6;0,1797233
3,65;0,1802633
3,7;0,1807985
3,75;0,1813316
3,8;0,1818623
3,85;0,1824111
3,9;0,1829421
3,95;0,1834778
4;0,1840015
4,05;0,1845492
4,1;0,1850825
4,15;0,1856306
4,2;0,1861632
4,25;0,1866989
4,3;0,1872321
4,35;0,1877567
4,4;0,1882763
4,45;0,1888059
4,5;0,1893312
4,55;0,1898424
4,6;0,1903484
4,65;0,1908448
4,7;0,1913476
4,75;0,1918335
4,8;0,1923111
4,85;0,1927902
4,9;0,1932531
4,95;0,1937126
5;0,1941639
