Faixa,U_E,Erro U_E,U_C,Erro U_C
180C - 0.5V,4.956104754219077,0.30584268204301746,1.5362754655207218,1.0945677801388276
180C - 1.5V,4.8270595479501965,0.30190753078534854,2.1550101031131352,1.0681808789795477
180C - 2.5V,4.8170043367578295,0.30154036543247803,2.475010624151726,1.023116609026071
190C - 0.5V,4.822285938370214,0.4154745548820145,2.391761312209054,1.9218589155792696
190C - 1.5V,4.7662937788796444,0.3267166578219053,2.444701838025701,1.3944197822314413
190C - 2.5V,4.651545690264655,0.26834688768958614,3.5782008583042457,0.7379724636208984
200C - 0.5V,4.721212028962462,0.6522026832116242,3.25877415973679,3.5091709469737866
200C - 1.5V,4.67353701610682,0.5260488325265744,3.2106671411629453,2.7005657077886043
200C - 2.5V,4.655242162333632,0.38875764434330745,3.7255268265733,1.3926446722155812
