Faixa,U_E,Erro U_E,U_C,Erro U_C
180C - 0.5V,4.945804631375868,0.2948263344426245,1.5174526073042927,0.9851860118407139
180C - 1.5V,4.855779541477345,0.31104251457410514,1.9857547688153905,1.047370760819905
180C - 2.5V,4.831374083401456,0.3224580944499783,2.3691409921037536,1.0990038091176535
190C - 0.5V,4.837970369436435,0.3314939242454298,2.173835581079249,1.394506720605171
190C - 1.5V,4.782439886504519,0.3460842630898383,2.3167904163533546,1.4589323851106217
190C - 2.5V,4.659452240576749,0.2624974872030829,3.471779191777987,0.659679065100522
200C - 0.5V,4.701140784669443,0.28902707186294374,3.253805872998719,1.4974343975994697
200C - 1.5V,4.689201629858745,0.35041395024553834,3.0740725883075894,1.5047230800539022
200C - 2.5V,4.715528073888656,0.30327727635552215,3.2843411389007504,0.9206830450526714
