Tensao [V],Corrente [A]
-5,-0.0001014653
-4.95,-9.131062E-05
-4.9,-8.586618E-05
-4.85,-8.303487E-05
-4.8,-8.118772E-05
-4.75,-7.894969E-05
-4.7,-7.681457E-05
-4.65,-7.403103E-05
-4.6,-7.30836E-05
-4.55,-7.226115E-05
-4.5,-7.03025E-05
-4.45,-6.910379E-05
-4.4,-6.802884E-05
-4.35,-6.732169E-05
-4.3,-6.623818E-05
-4.25,-6.403688E-05
-4.2,-6.433958E-05
-4.15,-6.154627E-05
-4.1,-5.772217E-05
-4.05,-5.445694E-05
-4,-6.009754E-05
-3.95,-6.31102E-05
-3.9,-6.223631E-05
-3.85,-5.996885E-05
-3.8,-5.567534E-05
-3.75,-5.089512E-05
-3.7,-4.945863E-05
-3.65,-4.722548E-05
-3.6,-4.829548E-05
-3.55,-4.94954E-05
-3.5,-5.15264E-05
-3.45,-5.262584E-05
-3.4,-5.19897E-05
-3.35,-5.118076E-05
-3.3,-5.276925E-05
-3.25,-5.075542E-05
-3.2,-4.82575E-05
-3.15,-4.830407E-05
-3.1,-4.769371E-05
-3.05,-5.709341E-05
-3,-5.472049E-05
-2.95,-5.482222E-05
-2.9,-5.356837E-05
-2.85,-4.786651E-05
-2.8,-4.550095E-05
-2.75,-4.786036E-05
-2.7,-4.572525E-05
-2.65,-3.343294E-05
-2.6,-2.889057E-05
-2.55,-3.651062E-05
-2.5,-5.314185E-05
-2.45,-4.940836E-05
-2.4,-4.524971E-05
-2.35,-4.075511E-05
-2.3,-3.417327E-05
-2.25,-3.277231E-05
-2.2,-3.235312E-05
-2.15,-2.77544E-05
-2.1,-3.076342E-05
-2.05,-4.234976E-05
-2,-4.342956E-05
-1.95,-3.425415E-05
-1.9,-2.913204E-05
-1.85,-3.102692E-05
-1.8,-2.949362E-05
-1.75,-4.114368E-05
-1.7,-3.846802E-05
-1.65,-3.705114E-05
-1.6,-3.527758E-05
-1.55,-3.445636E-05
-1.5,-2.94985E-05
-1.45,-1.829217E-05
-1.4,-2.657896E-05
-1.35,-3.260071E-05
-1.3,-3.056976E-05
-1.25,-2.568789E-05
-1.2,-2.4939E-05
-1.15,-3.590146E-05
-1.1,-3.372708E-05
-1.05,-2.99373E-05
-1,-2.67199E-05
-0.95,-2.359565E-05
-0.9,-1.989167E-05
-0.85,-1.721355E-05
-0.8,-1.475731E-05
-0.75,-1.187206E-05
-0.7,-6.980387E-06
-0.65,-8.397477E-07
-0.6,-4.488587E-06
-0.55,1.171614E-06
-0.5,1.060585E-05
-0.45,3.086917E-05
-0.4,7.27637E-05
-0.35,0.0001543049
-0.3,0.0003113406
-0.25,0.0006174713
-0.2,0.001205765
-0.15,0.002813407
-0.1,0.004072622
-0.05,0.006421072
0,0.009952494
0.05,0.01239768
0.1,0.01523572
0.15,0.01791491
0.2,0.02040388
0.25,0.02382698
0.3,0.0259055
0.35,0.02787846
0.4,0.02974484
0.45,0.031515
0.5,0.03319142
0.55,0.03476836
0.6,0.03630585
0.65,0.03779253
0.7,0.03923678
0.75,0.04065588
0.8,0.04202466
0.85,0.04337154
0.9,0.04467676
0.95,0.04597975
1,0.04719291
1.05,0.04839795
1.1,0.04956362
1.15,0.05068474
1.2,0.05176591
1.25,0.0528068
1.3,0.05380776
1.35,0.05475277
1.4,0.05565875
1.45,0.05652495
1.5,0.05736588
1.55,0.05817657
1.6,0.05892342
1.65,0.05964149
1.7,0.06033379
1.75,0.06098833
1.8,0.06161488
1.85,0.06222748
1.9,0.06280472
1.95,0.06335856
2,0.06390506
2.05,0.06443986
2.1,0.0649448
2.15,0.06543545
2.2,0.06590198
2.25,0.06636071
2.3,0.06680027
2.35,0.06722473
2.4,0.06763124
2.45,0.06802198
2.5,0.06839692
2.55,0.06876454
2.6,0.06912119
2.65,0.06947088
2.7,0.06979931
2.75,0.07012144
2.8,0.07043202
2.85,0.07071866
2.9,0.07100234
2.95,0.07127039
3,0.07151481
3.05,0.07174818
3.1,0.071978
3.15,0.07221322
3.2,0.07242053
3.25,0.0726189
3.3,0.07281352
3.35,0.07300267
3.4,0.07319072
3.45,0.07336605
3.5,0.07352921
3.55,0.07369243
3.6,0.07385853
3.65,0.07402224
3.7,0.07418645
3.75,0.07434536
3.8,0.07451325
3.85,0.07466986
3.9,0.07483075
3.95,0.07499295
4,0.07515862
4.05,0.07532503
4.1,0.075488
4.15,0.07564166
4.2,0.07579852
4.25,0.07595327
4.3,0.07610892
4.35,0.07626047
4.4,0.07641021
4.45,0.07654769
4.5,0.07671153
4.55,0.07686374
4.6,0.07700588
4.65,0.07714853
4.7,0.07728795
4.75,0.07741968
4.8,0.07756298
4.85,0.07769324
4.9,0.0778245
4.95,0.07795821
5,0.07808534
