Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-2.9,0.025,-0.00025768734,1.921931049255758e-05,-4.157771e-05,-0.00021610962999999998,2.0689709868426957e-05
-2.85,0.025,-0.00025492541,2.0657150915869305e-05,-4.0169628e-05,-0.00021475578200000003,2.1921031464338536e-05
-2.8,0.025,-0.00025158312,2.1643264437941575e-05,-3.8492608e-05,-0.000213090512,2.2846592884017442e-05
-2.75,0.025,-0.00025029914,2.085049808790614e-05,-3.6712892e-05,-0.00021358624799999997,2.1988431266106675e-05
-2.7,0.025,-0.00024806772000000003,2.1174359074692195e-05,-3.5301626e-05,-0.00021276609400000003,2.225415687952994e-05
-2.65,0.025,-0.00024282989,2.015299742483595e-05,-3.3617012e-05,-0.000209212878,2.1274635824856426e-05
-2.6,0.025,-0.00023923392000000003,1.8563904318315037e-05,-3.1999822000000005e-05,-0.00020723409800000003,1.9740833490909792e-05
-2.55,0.025,-0.00023507334,1.90895675266885e-05,-3.0355178000000004e-05,-0.000204718162,2.0285350762409067e-05
-2.5,0.025,-0.00023214261000000002,1.776912475506321e-05,-2.8810528e-05,-0.00020333208200000002,1.906604621112018e-05
-2.45,0.025,-0.00022614750999999997,1.7576144772544534e-05,-2.7272772e-05,-0.00019887473799999996,1.887193480231994e-05
-2.4,0.025,-0.00022112132,1.722554364907599e-05,-2.5546986e-05,-0.000195574334,1.8347070435245302e-05
-2.35,0.025,-0.00021864544999999997,1.849250407010306e-05,-2.4047452e-05,-0.00019459799799999996,1.9513071505092382e-05
-2.3,0.025,-0.00021147721,1.6874540124858052e-05,-2.2466546e-05,-0.000189010664,1.806945456045158e-05
-2.25,0.025,-0.00020283600999999998,1.7885277673702593e-05,-2.08493402e-05,-0.00018198666979999997,1.9060138199959218e-05
-2.2,0.025,-0.00018939611,2.1017273371018207e-05,-1.8839434e-05,-0.000170556676,2.2047789286190145e-05
-2.15,0.025,-0.00018020606000000003,1.834649849221614e-05,-1.74085566e-05,-0.00016279750340000002,1.949420804148509e-05
-2.1,0.025,-0.0001673272,1.713896201965309e-05,-1.62279594e-05,-0.00015109924060000002,1.8228000474206102e-05
-2.05,0.025,-0.00015286981,1.5716754245245565e-05,-1.4632331999999998e-05,-0.000138237478,1.6876429372052147e-05
-2.0,0.025,-0.00013611197,1.4286573394628643e-05,-1.2588353e-05,-0.000123523617,1.5319958199844445e-05
-1.95,0.025,-0.00011525912,1.3458030083832227e-05,-1.10728929e-05,-0.0001041862271,1.4620241407534891e-05
-1.9,0.025,-9.323315900000001e-05,1.374661158383197e-05,-9.83492318e-06,-8.339823582e-05,1.4979549442034843e-05
-1.85,0.025,-6.2977843e-05,1.1647796611730718e-05,-8.2613598e-06,-5.47164832e-05,1.3011251326289175e-05
-1.8,0.025,-2.8428620800000002e-05,1.403910804667059e-05,-6.360291199999999e-06,-2.2068329600000002e-05,1.5061486907663786e-05
-1.75,0.025,1.2341178900000002e-05,1.2785088609661738e-05,-4.8374710000000005e-06,1.7178649900000004e-05,1.3910157265487576e-05
-1.7,0.025,5.577486200000001e-05,9.88564719745169e-06,-3.5271862e-06,5.930204820000001e-05,1.1378542740833189e-05
-1.65,0.025,0.00010352314500000001,6.118134941400306e-06,-2.1122324e-06,0.0001056353774,7.97006972720152e-06
-1.6,0.025,0.00015901148999999997,5.470876659478097e-06,-6.717783999999999e-07,0.00015968326839999996,7.575783386525352e-06
-1.55,0.025,0.00022207386999999998,4.377223263173434e-06,8.8511554e-07,0.00022118875446,6.750831390205768e-06
-1.5,0.025,0.00029795216,5.244094845569949e-06,2.1672103e-06,0.0002957849497,7.4000793793553874e-06
-1.45,0.025,0.00039174644999999994,7.928460220167457e-06,3.6113598000000006e-06,0.00038813509019999993,9.253384404290574e-06
-1.4,0.025,0.0005102235200000001,1.2563584455861134e-05,5.1342074e-06,0.0005050893126,1.3455440239749378e-05
-1.35,0.025,0.00066374698,1.8850959895972293e-05,6.539386799999999e-06,0.0006572075932,1.9519707769782758e-05
-1.3,0.025,0.00086601492,2.8692230243619772e-05,8.0950848e-06,0.0008579198352,2.9154399490405026e-05
-1.25,0.025,0.0011379703,3.94330314613692e-05,9.632642399999998e-06,0.0011283376576,3.977593243748695e-05
-1.2,0.025,0.0014986541,5.336946156214556e-05,1.11481332e-05,0.0014875059668,5.3613971886644436e-05
-1.15,0.025,0.0019864193,0.0001161600550840185,1.2833268599999998e-05,0.0019735860313999996,0.0001162733242810251
-1.1,0.025,0.0027541407,7.391616017271042e-05,1.4214916e-05,0.002739925784,7.408387701528998e-05
-1.05,0.025,0.0033555264000000003,0.00012406907685926866,1.5545566e-05,0.0033399808340000003,0.00012418184007877096
-1.0,0.025,0.0042986252,0.00016637191801222533,1.6797768e-05,0.004281827432,0.00016644379757927328
-0.95,0.025,0.005476155799999999,0.00021388377285328503,1.8290954000000002e-05,0.005457864845999999,0.00021392839094221973
-0.9,0.025,0.0068988504999999995,0.0002688438346765854,1.990573e-05,0.006878944769999999,0.00026888267042089536
-0.85,0.025,0.008592935300000002,0.0003318192802043674,2.1538655999999997e-05,0.008571396644000001,0.00033185615369133174
-0.8,0.025,0.010574476999999999,0.0004079178190395704,2.2996543999999996e-05,0.010551480455999998,0.00040794705892467013
-0.75,0.025,0.012887290000000001,0.0004945701354824322,2.4587044e-05,0.012862702956000002,0.0004945953577833772
-0.7,0.025,0.015619009,0.0005918983780167754,2.595717e-05,0.01559305183,0.0005919139007908712
-0.65,0.025,0.018864922,0.0007063472947621283,2.7420684e-05,0.018837501316,0.0007063579637884498
-0.6,0.025,0.024666328999999997,0.0009155125807188256,2.8965843999999997e-05,0.024637363155999997,0.0009155224632863793
-0.55,0.025,0.02936564,0.0010949423146043404,3.0534038e-05,0.029335105961999997,0.0010949511002468647
-0.5,0.025,0.034622362000000004,0.0012899425642149093,3.1983584e-05,0.034590378416,0.00128995012471326
-0.45,0.025,0.040399108,0.0014977090542988944,3.3479466e-05,0.040365628534000005,0.001497714995943562
-0.4,0.025,0.04656128999999999,0.0017184285414037779,3.4724316e-05,0.046526565683999994,0.0017184336770056233
-0.35,0.025,0.05297485,0.001954754884821453,3.585445e-05,0.05293899555,0.0019547594010155952
-0.3,0.025,0.05962669,0.0022016734939788157,3.7188535999999997e-05,0.059589501464,0.0022016778155002706
-0.25,0.025,0.06654998200000002,0.0024570335412434953,3.8566014e-05,0.06651141598600002,0.002457037741372748
-0.2,0.025,0.07378760999999998,0.0027213454370259996,4.0466378e-05,0.07374714362199998,0.0027213486254279704
-0.15,0.025,0.081364788,0.003005914498103145,4.1837728000000004e-05,0.081322950272,0.003005917128002423
-0.1,0.025,0.089309078,0.0033052454790926233,4.3466232e-05,0.089265611768,0.0033052476172065483
-0.05,0.025,0.097617125,0.003617303909919193,4.4715230000000004e-05,0.09757240977,0.003617305912956997
0.0,0.025,0.10632707,0.0039426460858018805,4.4790268e-05,0.106282279732,0.003942647801362469
0.05,0.025,0.11527167,0.004278839729036106,4.3518678e-05,0.11522815132200001,0.004278841495293969
0.1,0.025,0.12455229000000001,0.004627261674624034,4.46118e-05,0.12450767820000001,0.004627263218013732
0.15,0.025,0.13410039,0.004993012371627201,4.6160126e-05,0.134054229874,0.0049930137343141
0.2,0.025,0.14391526,0.005362577591710086,4.7613366e-05,0.14386764663399998,0.005362579080645358
0.25,0.025,0.15398751,0.005744916012237839,4.8984963999999994e-05,0.153938525036,0.005744917343759083
0.3,0.025,0.16430308,0.006140089939768349,5.020405199999999e-05,0.16425287594799998,0.006140091058107376
0.35,0.025,0.17484471999999998,0.006550958516600619,5.20272e-05,0.17479269279999998,0.006550959351464079
0.4,0.025,0.18559223,0.006973788417918118,5.392539e-05,0.18553830461,0.006973789360360116
0.45,0.025,0.19654045999999997,0.007400089881916603,5.5153566e-05,0.19648530643399997,0.007400090727605482
0.5,0.025,0.20768084,0.007837908884843656,5.548352600000001e-05,0.20762535647400002,0.007837910345943973
0.55,0.025,0.21895181999999996,0.008312304668622296,5.7918810000000006e-05,0.21889390118999996,0.008312305388292536
0.6,0.025,0.23042026,0.008758361145176266,5.9149684000000003e-05,0.23036111031599998,0.008758361764760513
0.65,0.025,0.24195229999999998,0.00922897588937509,6.0739938e-05,0.241891560062,0.00922897651381646
0.7,0.025,0.25355463,0.009701173143955327,6.249054200000001e-05,0.253492139458,0.009701173660300974
0.75,0.025,0.26522849000000004,0.010180032123224802,6.4086688e-05,0.26516440331200003,0.010180032741945146
0.8,0.025,0.27695185,0.010657506794039592,6.552766599999999e-05,0.276886322334,0.010657507501409681
0.85,0.025,0.28868212,0.011139951353354789,6.6710982e-05,0.288615409018,0.011139951946012198
