Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-1.85,0.025,-9.4488844e-05,1.1801967966610027e-06,2.9218276e-06,-9.74106716e-05,1.4419460815145593e-06
-1.8,0.025,-9.1317005e-05,1.1052521116645243e-06,3.8901818e-06,-9.52071868e-05,1.6731026290456873e-06
-1.75,0.025,-8.757216e-05,8.526593193715242e-07,4.3682306e-06,-9.194039060000001e-05,9.83755643614008e-07
-1.7,0.025,-8.4239267e-05,6.498680066675096e-07,4.4991448000000006e-06,-8.87384118e-05,8.540944269512607e-07
-1.65,0.025,-8.092214500000001e-05,8.625864774586075e-07,5.136054000000001e-06,-8.605819900000001e-05,1.0714795569794828e-06
-1.6,0.025,-7.750763399999999e-05,6.798018454128134e-07,6.796484399999999e-06,-8.43041184e-05,1.0553399146263097e-06
-1.55,0.025,-7.3574609e-05,5.637211996969584e-07,7.3544568e-06,-8.092906580000001e-05,6.738750388087377e-07
-1.5,0.025,-6.998137e-05,8.775201506898106e-07,7.9053086e-06,-7.788667860000001e-05,1.1734536827369743e-06
-1.45,0.025,-6.6155991e-05,1.050736101866476e-06,9.332838999999998e-06,-7.548883e-05,1.4226118920600088e-06
-1.4,0.025,-6.132490900000001e-05,1.1433723545474298e-06,1.0878773399999999e-05,-7.22036824e-05,2.5427146630127675e-06
-1.35,0.025,-5.5985303e-05,8.873957400550095e-07,1.135977e-05,-6.7345073e-05,1.4186263564863646e-06
-1.3,0.025,-4.9206111e-05,9.8650496784749e-07,1.1809133999999998e-05,-6.1015244999999995e-05,1.0685887586053756e-06
-1.25,0.025,-4.0306225999999995e-05,1.0471725880059665e-06,1.2151371999999999e-05,-5.245759799999999e-05,1.511534785058258e-06
-1.2,0.025,-2.8287455999999996e-05,7.505392183431264e-07,1.3424699999999999e-05,-4.1712155999999996e-05,1.2446119530082907e-06
-1.15,0.025,-1.1897598000000002e-05,7.331811412801677e-07,1.4068962000000001e-05,-2.5966560000000004e-05,1.7180331027075382e-06
-1.1,0.025,9.5451367e-06,7.374481383323092e-07,1.5058888000000001e-05,-5.513751300000002e-06,1.0467467812703268e-06
-1.05,0.025,3.8152965e-05,7.062006036255646e-07,1.6683766e-05,2.1469199e-05,1.4223716073133314e-06
-1.0,0.025,7.627212199999999e-05,7.108795503505954e-07,1.7925718e-05,5.834640399999999e-05,2.3843998908376654e-06
-0.95,0.025,0.00012751875,8.948140542406971e-07,1.8516536e-05,0.00010900221400000001,1.4746561103513839e-06
-0.9,0.025,0.00019881142000000002,1.4083800897958366e-06,1.8783502000000003e-05,0.00018002791800000002,1.6952880366484417e-06
-0.85,0.025,0.0003046128,1.4403711705282475e-06,1.8880354e-05,0.00028573244600000003,2.4148442259944865e-06
-0.8,0.025,0.00046944336999999993,9.843032471415143e-07,1.9536872e-05,0.00044990649799999993,1.8974280467262324e-06
-0.75,0.025,0.0007351518,1.0989411267215548e-06,2.0455212e-05,0.000714696588,1.565872265151293e-06
-0.7,0.025,0.0011699542,8.879740736955804e-07,2.1417428e-05,0.001148536772,1.2436644565056627e-06
-0.65,0.025,0.0018786676000000003,9.946431185773771e-07,2.2762591999999996e-05,0.0018559050080000003,1.983242610550542e-06
-0.6,0.025,0.0034904284,1.330760912828105e-05,2.3352684e-05,0.003467075716,1.3341560285076823e-05
-0.55,0.025,0.0047422588,1.8191267624268588e-06,2.3694182e-05,0.004718564618000001,2.061120511408206e-06
-0.5,0.025,0.007165081300000001,3.1170482850144e-06,2.4603453999999997e-05,0.007140477846000001,3.283922537513821e-06
-0.45,0.025,0.010682823999999999,5.0998174259259415e-06,2.5547054e-05,0.010657276945999999,5.157615809694233e-06
-0.4,0.025,0.015556769000000002,6.44291419571398e-06,2.6360713999999998e-05,0.015530408286000002,6.486018938972713e-06
-0.35,0.025,0.025283212,1.0556336485732329e-05,2.7266552e-05,0.025255945448,1.0579139001569247e-05
-0.3,0.025,0.033885855000000006,1.708381771671086e-05,2.8268489999999998e-05,0.03385758651000001,1.708891707755801e-05
-0.25,0.025,0.04384186999999999,2.2030690209594073e-05,2.9510202000000003e-05,0.043812359797999995,2.2043712073463808e-05
-0.2,0.025,0.054869085,2.595898142583148e-05,3.0085094e-05,0.054838999906,2.59625356137405e-05
-0.15,0.025,0.06688288,2.864696842599273e-05,3.0771268e-05,0.06685210873200001,2.8650602079060126e-05
-0.1,0.025,0.079875888,3.873295748526966e-05,3.1884022e-05,0.07984400397800001,3.873350461798257e-05
-0.05,0.025,0.09367448800000001,4.607414936816741e-05,3.3515506e-05,0.09364097249400001,4.611903473016138e-05
0.0,0.025,0.10814292,5.174934889553036e-05,3.3646916e-05,0.10810927308400001,5.1776718835384494e-05
0.05,0.025,0.12289108000000001,5.973033474616402e-05,3.221989e-05,0.12285886011000001,5.973962697416648e-05
0.1,0.025,0.13802429,6.792645450942998e-05,3.1625634e-05,0.137992664366,6.793012404813707e-05
0.15,0.025,0.15335475999999998,7.640839395424544e-05,3.1684718e-05,0.15332307528199998,7.641080712684555e-05
0.2,0.025,0.16879729,8.167864469982335e-05,3.130619e-05,0.16876598381,8.169828544463085e-05
0.25,0.025,0.18430127000000002,9.22215815908125e-05,3.1617785999999996e-05,0.18426965221400002,9.224608763566814e-05
0.3,0.025,0.19987994999999997,9.883871542400382e-05,3.3233604000000004e-05,0.19984671639599996,9.884327727604615e-05
0.35,0.025,0.21552734999999998,0.00010832424833701133,3.3847948e-05,0.215493502052,0.00010832931864372738
0.4,0.025,0.23134415000000003,0.00011768425978014624,3.3974690000000005e-05,0.23131017531000003,0.00011768567560285426
0.45,0.025,0.24722908999999998,0.00012524079429465583,3.432895e-05,0.24719476105,0.00012524543299780974
0.5,0.025,0.26312061,0.0001326989361926612,3.4812382e-05,0.263085797618,0.00013270440686882366
0.55,0.025,0.27903504,0.00013949731339508683,3.5734409999999995e-05,0.27899930559,0.00013950213084300405
0.6,0.025,0.29503029999999997,0.00015410091210343795,3.6202898e-05,0.294994097102,0.00015411248435221164
0.65,0.025,0.31115532,0.00016189472436672824,3.6896430000000003e-05,0.31111842357,0.00016190889268824152
0.7,0.025,0.32743713999999996,0.00016903786032193883,3.79452e-05,0.32739919479999996,0.00016904633458104807
0.75,0.025,0.34385371000000003,0.00018069199361221263,3.9042264e-05,0.34381466773600006,0.00018069395071621745
0.8,0.025,0.36031604999999994,0.0001936044894451855,3.9845128e-05,0.36027620487199996,0.0001936070567311803
0.85,0.025,0.37673132000000004,0.00019890149879329703,3.9730901999999995e-05,0.37669158909800005,0.00019892263590582122
0.9,0.025,0.39298806999999997,0.0002061097013728408,4.030235999999999e-05,0.39294776763999995,0.00020613826261972355
