Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-5.0,0.025,-0.000474255,1.6382270477562043e-06,-8.9426832e-05,-0.00038482816799999996,2.47496937802673e-06
-4.95,0.025,-0.00045739070000000003,1.6254192888127262e-06,-7.9908938e-05,-0.00037748176200000003,2.24274334581879e-06
-4.9,0.025,-0.00045089834000000003,1.586347354564365e-06,-7.386651399999999e-05,-0.00037703182600000006,2.062221265568599e-06
-4.85,0.025,-0.00044744645000000004,1.481292503375199e-06,-6.9607798e-05,-0.000377838652,1.9081352391210537e-06
-4.8,0.025,-0.00044521367000000005,1.2040132308704678e-06,-6.6695672e-05,-0.00037851799800000006,1.5188886126807142e-06
-4.75,0.025,-0.00044361092,1.2198940380213312e-06,-6.442439e-05,-0.00037918653,1.5746380027803172e-06
-4.7,0.025,-0.0004419144999999999,1.4020689680294335e-06,-6.2209244e-05,-0.0003797052559999999,1.8182179849625073e-06
-4.65,0.025,-0.00044073923999999996,1.1842754523805329e-06,-6.0062976e-05,-0.00038067626399999996,1.714887914454213e-06
-4.6,0.025,-0.00043991053999999996,8.818952170058423e-07,-5.8029204e-05,-0.00038188133599999994,1.5386538879675898e-06
-4.55,0.025,-0.00043872645,1.1066622733346608e-06,-5.6552449999999994e-05,-0.000382174,1.552318271705979e-06
-4.5,0.025,-0.00043761438,1.6768747894686427e-06,-5.477290800000001e-05,-0.000382841472,1.9041056404977913e-06
-4.45,0.025,-0.00043658940000000006,1.5760660751800147e-06,-5.298627e-05,-0.00038360313000000007,1.811235035599559e-06
-4.4,0.025,-0.00043571605,2.031701231453321e-06,-5.176275000000001e-05,-0.0003839533,2.2130827776969715e-06
-4.35,0.025,-0.00043497932,1.7229110080842158e-06,-5.0586266e-05,-0.000384393054,1.8591757862175828e-06
-4.3,0.025,-0.00043382977,1.3316688778037567e-06,-4.9071492000000004e-05,-0.000384758278,1.4810444974345351e-06
