-0.61 0.08590 199.55
-0.53 0.08550 199.55
-0.54 0.08510 199.56
-0.53 0.08550 199.52
-0.56 0.08590 199.52
-0.52 0.08470 199.55
-0.56 0.08510 199.55
-0.54 0.08590 199.56
-0.47 0.08550 199.56
-0.44 0.08590 199.56
-0.27 0.08510 199.56
-0.29 0.08590 199.56
-0.11 0.08550 199.56
-0.08 0.08590 199.56
0.01 0.08550 199.55
0.10 0.08550 199.55
0.23 0.08590 199.55
0.45 0.08590 199.55
0.50 0.08550 199.59
0.70 0.08550 199.59
0.80 0.08590 199.58
0.89 0.08550 199.59
1.05 0.08550 199.59
1.11 0.08550 199.61
1.28 0.08510 199.61
1.33 0.08590 199.63
1.46 0.08510 199.63
1.60 0.08510 199.64
1.72 0.08590 199.64
1.79 0.08590 199.66
1.87 0.08510 199.66
1.90 0.08590 199.66
2.00 0.08550 199.69
2.10 0.08590 199.69
2.23 0.08590 199.71
2.26 0.08550 199.71
2.39 0.08550 199.70
2.43 0.08550 199.70
2.50 0.08550 199.73
2.55 0.08510 199.73
2.68 0.08550 199.76
2.74 0.08510 199.74
2.77 0.08550 199.74
2.84 0.08550 199.74
2.93 0.08510 199.74
2.94 0.08510 199.75
3.02 0.08550 199.76
3.10 0.08590 199.76
3.21 0.08510 199.77
3.27 0.08550 199.77
3.29 0.08550 199.79
3.37 0.08550 199.79
3.47 0.08550 199.83
3.46 0.08510 199.83
3.55 0.08590 199.83
3.61 0.08550 199.84
3.62 0.08550 199.84
3.75 0.08550 199.85
3.84 0.08510 199.85
3.88 0.08550 199.84
3.94 0.08510 199.84
3.92 0.08550 199.84
4.00 0.08550 199.84
4.03 0.08550 199.84
4.15 0.08510 199.84
4.19 0.08510 199.83
4.27 0.08510 199.84
4.28 0.08510 199.84
4.31 0.08510 199.85
4.37 0.08550 199.85
4.43 0.08550 199.86
4.47 0.08550 199.86
4.52 0.08550 199.89
4.66 0.08470 199.89
4.66 0.08510 199.90
4.73 0.08510 199.90
4.78 0.08550 199.90
4.87 0.08510 199.94
4.87 0.08550 199.94
4.96 0.08550 199.94
5.02 0.08550 199.94
5.04 0.08510 199.94
5.07 0.08510 199.94
5.13 0.08550 199.94
5.21 0.08550 199.93
5.27 0.08510 199.93
5.30 0.08470 199.95
5.33 0.08550 199.95
5.43 0.08550 199.95
5.45 0.08510 199.95
5.56 0.08510 199.95
5.57 0.08510 199.95
5.68 0.08510 199.96
5.72 0.08510 199.96
5.78 0.08550 199.96
5.79 0.08510 199.98
5.86 0.08550 199.98
5.94 0.08510 199.96
5.92 0.08550 199.96
5.97 0.08550 199.98
6.03 0.08510 199.98
6.13 0.08510 200.00
6.11 0.08510 200.00
6.23 0.08550 200.00
6.28 0.08550 200.00
6.30 0.08550 200.00
6.32 0.08550 199.99
6.44 0.08510 199.99
6.48 0.08510 200.01
6.54 0.08550 200.01
6.54 0.08510 200.01
6.63 0.08550 200.04
6.70 0.08510 200.04
6.77 0.08550 200.05
6.73 0.08510 200.05
6.86 0.08550 200.08
6.82 0.08510 200.08
6.89 0.08550 200.09
6.92 0.08550 200.11
7.03 0.08550 200.11
7.03 0.08550 200.13
7.15 0.08550 200.13
7.22 0.08550 200.14
7.25 0.08590 200.14
7.32 0.08550 200.15
7.36 0.08550 200.15
7.35 0.08440 200.18
7.38 0.08590 200.19
7.49 0.08550 200.19
7.51 0.08550 200.21
7.55 0.08510 200.21
7.66 0.08550 200.20
7.72 0.08510 200.20
7.77 0.08550 200.23
7.75 0.08550 200.23
7.81 0.08550 200.23
7.84 0.08550 200.21
7.90 0.08510 200.21
7.97 0.08590 200.24
8.00 0.08590 200.24
8.13 0.08550 200.24
8.12 0.08550 200.25
8.23 0.08550 200.25
8.27 0.08550 200.23
8.25 0.08550 200.23
8.32 0.08590 200.21
8.36 0.08550 200.21
8.41 0.08590 200.23
8.48 0.08590 200.24
8.59 0.08550 200.24
8.63 0.08550 200.24
8.68 0.08550 200.24
8.65 0.08550 200.25
8.75 0.08550 200.25
8.78 0.08550 200.26
8.82 0.08550 200.26
8.87 0.08590 200.27
8.98 0.08550 200.27
8.97 0.08590 200.27
9.08 0.08550 200.27
9.13 0.08590 200.27
9.20 0.08590 200.27
9.22 0.08590 200.27
9.26 0.08590 200.27
9.27 0.08590 200.27
9.34 0.08550 200.26
9.44 0.08550 200.26
9.50 0.08590 200.26
9.46 0.08550 200.27
9.56 0.08590 200.27
9.61 0.08590 200.29
9.64 0.08590 200.29
9.69 0.08590 200.30
9.74 0.08550 200.30
9.83 0.08590 200.30
9.83 0.08590 200.30
9.92 0.08590 200.30
10.01 0.08630 200.27
10.03 0.08510 200.27
10.07 0.08470 200.27
10.08 0.08590 200.27
10.21 0.08630 200.27
10.21 0.08590 200.25
10.25 0.08590 200.25
10.33 0.08590 200.26
10.34 0.08630 200.26
10.42 0.08590 200.26
10.44 0.08630 200.26
10.50 0.08630 200.25
10.53 0.08590 200.23
10.66 0.08590 200.23
10.71 0.08590 200.23
10.70 0.08630 200.23
10.75 0.08630 200.23
10.85 0.08590 200.23
10.93 0.08630 200.24
10.95 0.08590 200.21
10.96 0.08630 200.21
11.07 0.08590 200.20
11.06 0.08630 200.20
11.09 0.08550 200.21
11.20 0.08630 200.21
11.23 0.08660 200.24
11.26 0.08590 200.25
11.33 0.08630 200.25
11.41 0.08590 200.25
11.41 0.08630 200.25
11.52 0.08630 200.26
11.54 0.08660 200.26
11.59 0.08630 200.26
11.60 0.08660 200.26
11.69 0.08630 200.26
11.73 0.08660 200.29
11.78 0.08630 200.29
11.84 0.08700 200.31
11.92 0.08660 200.31
11.90 0.08630 200.33
12.02 0.08660 200.35
12.02 0.08630 200.35
12.07 0.08660 200.34
12.19 0.08660 200.34
12.20 0.08660 200.35
12.29 0.08660 200.35
12.30 0.08660 200.35
12.33 0.08700 200.35
12.45 0.08660 200.38
