Tensao [V],Corrente [A]
-5,-0.0001082605
-4.95,-9.231566E-05
-4.9,-8.377397E-05
-4.85,-7.86224E-05
-4.8,-7.569673E-05
-4.75,-7.249774E-05
-4.7,-6.801663E-05
-4.65,-6.817358E-05
-4.6,-6.927786E-05
-4.55,-6.94274E-05
-4.5,-6.756189E-05
-4.45,-6.410675E-05
-4.4,-6.464605E-05
-4.35,-6.653966E-05
-4.3,-6.546972E-05
-4.25,-6.421217E-05
-4.2,-6.225473E-05
-4.15,-6.131218E-05
-4.1,-6.039295E-05
-4.05,-5.932785E-05
-4,-5.858506E-05
-3.95,-5.834606E-05
-3.9,-5.871133E-05
-3.85,-5.690095E-05
-3.8,-5.725029E-05
-3.75,-5.707135E-05
-3.7,-5.558705E-05
-3.65,-5.488843E-05
-3.6,-5.418736E-05
-3.55,-5.211229E-05
-3.5,-5.155091E-05
-3.45,-5.148473E-05
-3.4,-5.0286E-05
-3.35,-4.92503E-05
-3.3,-5.176541E-05
-3.25,-4.838008E-05
-3.2,-3.882101E-05
-3.15,-4.219652E-05
-3.1,-4.541271E-05
-3.05,-4.878823E-05
-3,-4.044628E-05
-2.95,-3.508396E-05
-2.9,-3.990942E-05
-2.85,-4.26758E-05
-2.8,-4.805894E-05
-2.75,-4.177492E-05
-2.7,-3.03994E-05
-2.65,-3.455813E-05
-2.6,-4.436108E-05
-2.55,-3.559012E-05
-2.5,-2.660716E-05
-2.45,-3.175622E-05
-2.4,-3.216805E-05
-2.35,-2.715994E-05
-2.3,-2.566828E-05
-2.25,-2.292645E-05
-2.2,-2.41509E-05
-2.15,-2.432004E-05
-2.1,-9.728359E-06
-2.05,-7.245134E-06
-2,-8.45365E-06
-1.95,-7.982996E-06
-1.9,2.948884E-06
-1.85,1.238559E-05
-1.8,1.557732E-05
-1.75,2.047279E-05
-1.7,2.198899E-05
-1.65,3.586267E-05
-1.6,5.87773E-05
-1.55,6.361629E-05
-1.5,7.117282E-05
-1.45,9.808924E-05
-1.4,0.0001257987
-1.35,0.0001526908
-1.3,0.0001911717
-1.25,0.0002368487
-1.2,0.0003206169
-1.15,0.0004212803
-1.1,0.0005347199
-1.05,0.0006827705
-1,0.0008689545
-0.95,0.001091585
-0.9,0.001341818
-0.85,0.001659671
-0.8,0.002028826
-0.75,0.002585014
-0.7,0.00296407
-0.65,0.003536577
-0.6,0.004220656
-0.55,0.005014132
-0.5,0.005910064
-0.45,0.006907769
-0.4,0.007996231
-0.35,0.009153975
-0.3,0.01036389
-0.25,0.01162221
-0.2,0.01293445
-0.15,0.01431033
-0.1,0.01575784
-0.05,0.01728011
0,0.01923467
0.05,0.02058993
0.1,0.02313207
0.15,0.02493471
0.2,0.02677952
0.25,0.02866293
0.3,0.03056367
0.35,0.0324966
0.4,0.03445064
0.45,0.03642898
0.5,0.03843327
0.55,0.04045312
0.6,0.04248801
0.65,0.04453973
0.7,0.04661812
0.75,0.04870731
0.8,0.05079498
0.85,0.05288081
0.9,0.05496173
0.95,0.05701477
1,0.05903429
1.05,0.06101351
1.1,0.06296537
1.15,0.06487379
1.2,0.0667375
1.25,0.06856436
1.3,0.07035261
1.35,0.07210095
1.4,0.07379441
1.45,0.07545821
1.5,0.07708232
1.55,0.07868842
1.6,0.08024595
1.65,0.08177909
1.7,0.08329254
1.75,0.08477561
1.8,0.08621552
1.85,0.08763473
1.9,0.08904521
1.95,0.09043353
2,0.09178608
2.05,0.09312355
2.1,0.09444593
2.15,0.09575962
2.2,0.09703448
2.25,0.0983067
2.3,0.09955874
2.35,0.1007986
2.4,0.1020102
2.45,0.1032037
2.5,0.1043997
2.55,0.1055678
2.6,0.1067086
2.65,0.1078318
2.7,0.1089407
2.75,0.1100318
2.8,0.1111131
2.85,0.1121546
2.9,0.1131964
2.95,0.1142108
3,0.1152111
3.05,0.1161862
3.1,0.1171529
3.15,0.1181057
3.2,0.1190386
3.25,0.1199492
3.3,0.1208604
3.35,0.1217589
3.4,0.1226452
3.45,0.1235186
3.5,0.1243869
3.55,0.125243
3.6,0.1260974
3.65,0.1269374
3.7,0.1277785
3.75,0.1286184
3.8,0.1294397
3.85,0.1302674
3.9,0.1310855
3.95,0.1319003
4,0.1327067
4.05,0.1335057
4.1,0.1342972
4.15,0.1350827
4.2,0.1358642
4.25,0.1366217
4.3,0.1373775
4.35,0.1381286
4.4,0.1388598
4.45,0.1395836
4.5,0.1402989
4.55,0.140998
4.6,0.1416984
4.65,0.1423777
4.7,0.143053
4.75,0.1437112
4.8,0.1443676
4.85,0.1450068
4.9,0.1456413
4.95,0.1462432
5,0.1468585
