Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-2.65,0.025,-6.462477300000001e-05,1.8319502040603267e-06,-1.2611078e-05,-5.201369500000001e-05,1.969105417575878e-06
-2.6,0.025,-6.41139e-05,2.079707860541955e-06,-1.1344885999999999e-05,-5.2769013999999994e-05,2.1538269217441762e-06
-2.55,0.025,-6.366013300000001e-05,2.0356474638418008e-06,-1.05417804e-05,-5.311835260000001e-05,2.144019939464266e-06
-2.5,0.025,-6.22863e-05,1.6469815978260891e-06,-9.6092386e-06,-5.2677061400000004e-05,1.7676915567314275e-06
-2.45,0.025,-6.119615700000001e-05,1.4269534766460404e-06,-8.510482e-06,-5.2685675000000015e-05,1.52599457703123e-06
-2.4,0.025,-5.982241100000001e-05,1.1424861613015515e-06,-7.7725826e-06,-5.204982840000001e-05,1.2591943395831935e-06
-2.35,0.025,-5.8292522e-05,1.844734075137481e-06,-6.599795399999999e-06,-5.16927266e-05,1.966330218220515e-06
-2.3,0.025,-5.7104482999999995e-05,1.822537886312806e-06,-5.3387528e-06,-5.17657302e-05,1.872520017684257e-06
-2.25,0.025,-5.665918400000001e-05,9.560783008054886e-07,-4.469702399999999e-06,-5.218948160000001e-05,1.0968170776077068e-06
-2.2,0.025,-5.5689176e-05,1.6370187758592001e-06,-3.5832458000000004e-06,-5.2105930200000004e-05,1.6567991166219442e-06
-2.15,0.025,-5.467419600000001e-05,1.987635880566548e-06,-2.7879864e-06,-5.1886209600000006e-05,2.0364791166477396e-06
-2.1,0.025,-5.3641307000000003e-05,1.6028101989807372e-06,-2.0049840000000003e-06,-5.1636323e-05,1.6863513323178448e-06
-2.05,0.025,-5.2671415999999996e-05,1.355807888752843e-06,-1.1391184440000002e-06,-5.1532297555999995e-05,1.5349226449014416e-06
-2.0,0.025,-5.1736835000000005e-05,1.1091051537889047e-06,-1.4129259999999987e-08,-5.1722705740000006e-05,1.244744617235137e-06
-1.95,0.025,-5.1026194000000006e-05,1.1219711001744498e-06,7.91440608e-07,-5.181763460800001e-05,1.257803218364478e-06
-1.9,0.025,-4.9735291e-05,1.7506964780049363e-06,1.4808180999999999e-06,-5.12161091e-05,2.2168444219300072e-06
-1.85,0.025,-4.9097581000000004e-05,1.0159986735058045e-06,2.9218276e-06,-5.2019408600000004e-05,1.3109528319935293e-06
-1.8,0.025,-4.8618203e-05,9.899079720868551e-07,3.8901818e-06,-5.25083848e-05,1.5992523159845073e-06
