Tensao [V],Corrente [A]
-5,-0.003752828
-4.95,-0.003848246
-4.9,-0.003852489
-4.85,-0.003851172
-4.8,-0.003849026
-4.75,-0.003846847
-4.7,-0.003843573
-4.65,-0.003841886
-4.6,-0.003840793
-4.55,-0.003837706
-4.5,-0.003835928
-4.45,-0.003834315
-4.4,-0.003834431
-4.35,-0.003832275
-4.3,-0.003830147
-4.25,-0.003828111
-4.2,-0.003827777
-4.15,-0.003825855
-4.1,-0.003824326
-4.05,-0.003822755
-4,-0.003823277
-3.95,-0.003822777
-3.9,-0.003818478
-3.85,-0.003816731
-3.8,-0.003814935
-3.75,-0.00381499
-3.7,-0.003813042
-3.65,-0.00381177
-3.6,-0.003810008
-3.55,-0.003808924
-3.5,-0.00380739
-3.45,-0.003805977
-3.4,-0.003803193
-3.35,-0.003802751
-3.3,-0.003800212
-3.25,-0.003799395
-3.2,-0.003797161
-3.15,-0.003795337
-3.1,-0.003794827
-3.05,-0.003793104
-3,-0.00379329
-2.95,-0.00379055
-2.9,-0.003787655
-2.85,-0.003785523
-2.8,-0.003784633
-2.75,-0.003781723
-2.7,-0.003779861
-2.65,-0.003777539
-2.6,-0.003775562
-2.55,-0.003773722
-2.5,-0.003767843
-2.45,-0.00376619
-2.4,-0.003760135
-2.35,-0.003755502
-2.3,-0.003748704
-2.25,-0.003738896
-2.2,-0.003734328
-2.15,-0.003723641
-2.1,-0.003713364
-2.05,-0.003699607
-2,-0.003684456
-1.95,-0.003670635
-1.9,-0.00365228
-1.85,-0.003631323
-1.8,-0.003603869
-1.75,-0.003580124
-1.7,-0.003548272
-1.65,-0.003499405
-1.6,-0.003444132
-1.55,-0.003364829
-1.5,-0.003262307
-1.45,-0.003133367
-1.4,-0.002963894
-1.35,-0.002750288
-1.3,-0.00248465
-1.25,-0.002152623
-1.2,-0.001554922
-1.15,-0.00121096
-1.1,-0.0005520356
-1.05,0.0003770688
-1,0.001703471
-0.95,0.004544077
-0.9,0.006598125
-0.85,0.01071006
-0.8,0.01680064
-0.75,0.03005049
-0.7,0.04315416
-0.65,0.05975697
-0.6,0.07992904
-0.55,0.1039122
-0.5,0.1322639
-0.45,0.1653315
-0.4,0.2030359
-0.35,0.2447913
-0.3,0.2900956
-0.25,0.3380984
-0.2,0.3884017
-0.15,0.4407875
-0.1,0.4951332
-0.05,0.5514983
0,0.6105464
0.05,0.6713038
0.1,0.734794
0.15,0.8008514
0.2,0.8695361
0.25,0.9408151
0.3,1.014791
0.35,1.091384
0.4,1.170553
0.45,1.252227
0.5,1.336447
0.55,1.423113
0.6,1.512119
0.65,1.603346
0.7,1.69655
0.75,1.791652
0.8,1.888389
0.85,1.986575
0.9,2.085922
0.95,2.186531
1,2.287331
1.05,2.389068
1.1,2.490866
1.15,2.593114
1.2,2.695188
1.25,2.797412
1.3,2.899285
1.35,3.000734
1.4,3.101984
1.45,3.202862
1.5,3.302838
1.55,3.402265
1.6,3.50088
1.65,3.598682
1.7,3.695875
1.75,3.792206
1.8,3.887799
1.85,3.982719
1.9,4.07709
1.95,4.170398
2,4.263386
2.05,4.355996
2.1,4.448034
2.15,4.539409
2.2,4.630159
2.25,4.720393
2.3,4.810461
2.35,4.899277
2.4,4.987754
2.45,5.075066
2.5,5.161633
2.55,5.247067
2.6,5.331605
2.65,5.414988
2.7,5.497271
2.75,5.578621
2.8,5.659022
2.85,5.738171
2.9,5.816439
2.95,5.894018
3,5.97046
3.05,6.046379
3.1,6.121553
3.15,6.19587
3.2,6.269781
3.25,6.342935
3.3,6.415935
3.35,6.488236
3.4,6.560209
3.45,6.63154
3.5,6.702394
3.55,6.772945
3.6,6.843027
3.65,6.912709
3.7,6.981888
3.75,7.050477
3.8,7.118502
3.85,7.186155
3.9,7.253273
3.95,7.319893
4,7.385697
4.05,7.451115
4.1,7.515789
4.15,7.5798
4.2,7.642892
4.25,7.705415
4.3,7.766789
4.35,7.827079
4.4,7.886437
4.45,7.944955
4.5,8.002447
4.55,8.058699
4.6,8.113637
4.65,8.167736
4.7,8.221026
4.75,8.2727
4.8,8.323764
4.85,8.373861
4.9,8.422566
4.95,8.470542
5,8.517572
