Tensao [V],Corrente [A]
-5,-0.003785705
-4.95,-0.003852894
-4.9,-0.003855112
-4.85,-0.003852311
-4.8,-0.003849101
-4.75,-0.003848653
-4.7,-0.003846683
-4.65,-0.003844862
-4.6,-0.003842241
-4.55,-0.003840346
-4.5,-0.003839219
-4.45,-0.003836649
-4.4,-0.003833964
-4.35,-0.003833544
-4.3,-0.003831487
-4.25,-0.003830624
-4.2,-0.003828279
-4.15,-0.003826694
-4.1,-0.003826927
-4.05,-0.003824734
-4,-0.003822415
-3.95,-0.003822082
-3.9,-0.003820707
-3.85,-0.003818973
-3.8,-0.003817322
-3.75,-0.003815866
-3.7,-0.003815384
-3.65,-0.003812763
-3.6,-0.003811236
-3.55,-0.003810222
-3.5,-0.003808025
-3.45,-0.003808243
-3.4,-0.003805767
-3.35,-0.003803593
-3.3,-0.003802842
-3.25,-0.003802897
-3.2,-0.003800417
-3.15,-0.003798447
-3.1,-0.00379653
-3.05,-0.003795038
-3,-0.00379246
-2.95,-0.003790317
-2.9,-0.003789676
-2.85,-0.003787668
-2.8,-0.003785082
-2.75,-0.00378355
-2.7,-0.003781342
-2.65,-0.003778824
-2.6,-0.003776176
-2.55,-0.003772613
-2.5,-0.003770212
-2.45,-0.003766574
-2.4,-0.003762315
-2.35,-0.00375692
-2.3,-0.003751443
-2.25,-0.003745352
-2.2,-0.003736065
-2.15,-0.003726235
-2.1,-0.003715327
-2.05,-0.003702038
-2,-0.003688827
-1.95,-0.003672175
-1.9,-0.003656147
-1.85,-0.003636447
-1.8,-0.00361256
-1.75,-0.003584408
-1.7,-0.003550257
-1.65,-0.003505089
-1.6,-0.003444828
-1.55,-0.003367255
-1.5,-0.003265053
-1.45,-0.003134069
-1.4,-0.002965389
-1.35,-0.002751342
-1.3,-0.002486897
-1.25,-0.002158805
-1.2,-0.001552321
-1.15,-0.001213996
-1.1,-0.000552294
-1.05,0.0003781247
-1,0.001702632
-0.95,0.004521337
-0.9,0.006596658
-0.85,0.0107106
-0.8,0.01680338
-0.75,0.030079
-0.7,0.04316813
-0.65,0.05975824
-0.6,0.07993686
-0.55,0.1039519
-0.5,0.1323012
-0.45,0.1653447
-0.4,0.2030552
-0.35,0.2448165
-0.3,0.2901157
-0.25,0.3381332
-0.2,0.3884547
-0.15,0.4408484
-0.1,0.4951843
-0.05,0.5515539
0,0.6105992
0.05,0.6714313
0.1,0.7349476
0.15,0.801004
0.2,0.8696615
0.25,0.9410153
0.3,1.015017
0.35,1.091588
0.4,1.170711
0.45,1.252435
0.5,1.33664
0.55,1.423338
0.6,1.512326
0.65,1.603568
0.7,1.696846
0.75,1.791935
0.8,1.888666
0.85,1.986874
0.9,2.086249
0.95,2.186797
1,2.287697
1.05,2.389221
1.1,2.491233
1.15,2.59332
1.2,2.695519
1.25,2.797641
1.3,2.899578
1.35,3.001255
1.4,3.102414
1.45,3.203028
1.5,3.302955
1.55,3.402558
1.6,3.501134
1.65,3.598939
1.7,3.696169
1.75,3.792638
1.8,3.888345
1.85,3.98334
1.9,4.077223
1.95,4.170746
2,4.26368
2.05,4.356151
2.1,4.448092
2.15,4.539529
2.2,4.630542
2.25,4.721006
2.3,4.810582
2.35,4.899644
2.4,4.988159
2.45,5.075468
2.5,5.161918
2.55,5.247439
2.6,5.332097
2.65,5.415296
2.7,5.497806
2.75,5.579081
2.8,5.659408
2.85,5.738647
2.9,5.81685
2.95,5.894379
3,5.971146
3.05,6.046852
3.1,6.121988
3.15,6.196194
3.2,6.270115
3.25,6.343364
3.3,6.416111
3.35,6.488463
3.4,6.560459
3.45,6.631743
3.5,6.702618
3.55,6.773165
3.6,6.843659
3.65,6.912806
3.7,6.982284
3.75,7.05095
3.8,7.119038
3.85,7.186797
3.9,7.253716
3.95,7.319933
4,7.38612
4.05,7.45143
4.1,7.516283
4.15,7.580084
4.2,7.643432
4.25,7.705639
4.3,7.767226
4.35,7.827753
4.4,7.887091
4.45,7.94553
4.5,8.002671
4.55,8.059223
4.6,8.114472
4.65,8.168429
4.7,8.221277
4.75,8.273637
4.8,8.324263
4.85,8.373909
4.9,8.422889
4.95,8.470644
5,8.517604
