Tensao [V],Corrente [A]
-5,-0.003785201
-4.95,-0.00385355
-4.9,-0.003855169
-4.85,-0.003851664
-4.8,-0.003849028
-4.75,-0.003847423
-4.7,-0.003846159
-4.65,-0.003843385
-4.6,-0.003842106
-4.55,-0.00384045
-4.5,-0.003838272
-4.45,-0.003836106
-4.4,-0.003834127
-4.35,-0.003833571
-4.3,-0.003833141
-4.25,-0.003830209
-4.2,-0.003827826
-4.15,-0.003826862
-4.1,-0.003825861
-4.05,-0.003823419
-4,-0.003822386
-3.95,-0.003821555
-3.9,-0.003820608
-3.85,-0.003818929
-3.8,-0.003816442
-3.75,-0.003816546
-3.7,-0.003815909
-3.65,-0.00381376
-3.6,-0.003812796
-3.55,-0.003810559
-3.5,-0.003809614
-3.45,-0.003808021
-3.4,-0.003805281
-3.35,-0.003804817
-3.3,-0.003803782
-3.25,-0.003802731
-3.2,-0.003799971
-3.15,-0.00379688
-3.1,-0.003796151
-3.05,-0.003794556
-3,-0.003792876
-2.95,-0.003791196
-2.9,-0.003790133
-2.85,-0.003789158
-2.8,-0.003785854
-2.75,-0.003783663
-2.7,-0.003782117
-2.65,-0.00378023
-2.6,-0.003777391
-2.55,-0.003772631
-2.5,-0.003770902
-2.45,-0.00376767
-2.4,-0.003763664
-2.35,-0.003758322
-2.3,-0.003753389
-2.25,-0.003746614
-2.2,-0.003736709
-2.15,-0.003727396
-2.1,-0.003717106
-2.05,-0.00370402
-2,-0.003689248
-1.95,-0.00367282
-1.9,-0.003655422
-1.85,-0.003636956
-1.8,-0.003612893
-1.75,-0.003584823
-1.7,-0.003550207
-1.65,-0.003506894
-1.6,-0.003446183
-1.55,-0.003367216
-1.5,-0.003266478
-1.45,-0.003135146
-1.4,-0.002965926
-1.35,-0.00275215
-1.3,-0.002487769
-1.25,-0.002160455
-1.2,-0.001551906
-1.15,-0.001213361
-1.1,-0.0005516069
-1.05,0.0003771185
-1,0.001702501
-0.95,0.004520505
-0.9,0.006599452
-0.85,0.01072014
-0.8,0.01681022
-0.75,0.03009053
-0.7,0.0431866
-0.65,0.05977655
-0.6,0.0799642
-0.55,0.1039844
-0.5,0.1323419
-0.45,0.1653959
-0.4,0.2031101
-0.35,0.2448818
-0.3,0.2901886
-0.25,0.3382113
-0.2,0.3885388
-0.15,0.4409444
-0.1,0.4952988
-0.05,0.5516814
0,0.6107292
0.05,0.6715376
0.1,0.7350696
0.15,0.8011312
0.2,0.8698142
0.25,0.9411736
0.3,1.01519
0.35,1.091772
0.4,1.170922
0.45,1.252631
0.5,1.336915
0.55,1.423565
0.6,1.512591
0.65,1.603811
0.7,1.69706
0.75,1.792189
0.8,1.888928
0.85,1.987149
0.9,2.086492
0.95,2.187059
1,2.288034
1.05,2.389648
1.1,2.491571
1.15,2.59357
1.2,2.695643
1.25,2.798181
1.3,2.900016
1.35,3.001679
1.4,3.102866
1.45,3.203479
1.5,3.303581
1.55,3.402905
1.6,3.501649
1.65,3.599465
1.7,3.69652
1.75,3.793074
1.8,3.888618
1.85,3.983652
1.9,4.077661
1.95,4.171334
2,4.264278
2.05,4.35669
2.1,4.448502
2.15,4.540203
2.2,4.630911
2.25,4.721191
2.3,4.810942
2.35,4.900108
2.4,4.988472
2.45,5.07594
2.5,5.162383
2.55,5.247942
2.6,5.332314
2.65,5.415786
2.7,5.498016
2.75,5.579541
2.8,5.659896
2.85,5.738985
2.9,5.817513
2.95,5.894805
3,5.971584
3.05,6.047238
3.1,6.122236
3.15,6.196693
3.2,6.270628
3.25,6.343938
3.3,6.416663
3.35,6.488844
3.4,6.560896
3.45,6.632593
3.5,6.703457
3.55,6.774035
3.6,6.843934
3.65,6.91326
3.7,6.982708
3.75,7.051312
3.8,7.119496
3.85,7.186891
3.9,7.25372
3.95,7.320391
4,7.386265
4.05,7.451802
4.1,7.516489
4.15,7.580585
4.2,7.643634
4.25,7.706066
4.3,7.767534
4.35,7.827892
4.4,7.887369
4.45,7.945605
4.5,8.003311
4.55,8.059682
4.6,8.114567
4.65,8.168588
4.7,8.221815
4.75,8.27388
4.8,8.324667
4.85,8.374508
4.9,8.423292
4.95,8.471367
5,8.518148
