Tensao [V],Corrente [A]
-5,-0.004249428
-4.95,-0.004358879
-4.9,-0.004366978
-4.85,-0.004364936
-4.8,-0.004362111
-4.75,-0.004359882
-4.7,-0.004358702
-4.65,-0.004357485
-4.6,-0.004355257
-4.55,-0.004352539
-4.5,-0.004350838
-4.45,-0.004349929
-4.4,-0.004348395
-4.35,-0.004346398
-4.3,-0.004345354
-4.25,-0.004343172
-4.2,-0.004341584
-4.15,-0.004339897
-4.1,-0.004337928
-4.05,-0.004337791
-4,-0.004336943
-3.95,-0.004335137
-3.9,-0.004332402
-3.85,-0.004330679
-3.8,-0.004329991
-3.75,-0.004327429
-3.7,-0.004327402
-3.65,-0.004326271
-3.6,-0.004323507
-3.55,-0.004322188
-3.5,-0.004320121
-3.45,-0.00431911
-3.4,-0.004318885
-3.35,-0.004315768
-3.3,-0.004315036
-3.25,-0.004312385
-3.2,-0.004311504
-3.15,-0.004310263
-3.1,-0.004307229
-3.05,-0.004307942
-3,-0.004305055
-2.95,-0.004302561
-2.9,-0.004301107
-2.85,-0.004297968
-2.8,-0.004298751
-2.75,-0.00429584
-2.7,-0.004293188
-2.65,-0.004291845
-2.6,-0.004288483
-2.55,-0.004285703
-2.5,-0.004281139
-2.45,-0.004278354
-2.4,-0.004275009
-2.35,-0.004268487
-2.3,-0.004261697
-2.25,-0.004253337
-2.2,-0.00424501
-2.15,-0.004234387
-2.1,-0.004222129
-2.05,-0.004209365
-2,-0.004194047
-1.95,-0.004175893
-1.9,-0.004156578
-1.85,-0.00413412
-1.8,-0.004110023
-1.75,-0.004078606
-1.7,-0.004038624
-1.65,-0.003988796
-1.6,-0.003921895
-1.55,-0.003835072
-1.5,-0.00372014
-1.45,-0.003572066
-1.4,-0.003383108
-1.35,-0.003142262
-1.3,-0.00283925
-1.25,-0.002465704
-1.2,-0.002002065
-1.15,-0.00111698
-1.1,-0.0006081113
-1.05,0.0004242695
-1,0.001933806
-0.95,0.005191598
-0.9,0.007493706
-0.85,0.01213947
-0.8,0.01899082
-0.75,0.03380752
-0.7,0.0484517
-0.65,0.06687883
-0.6,0.0891762
-0.55,0.1156912
-0.5,0.1469314
-0.45,0.1832332
-0.4,0.224379
-0.35,0.2698054
-0.3,0.3187104
-0.25,0.3702855
-0.2,0.4242181
-0.15,0.4802499
-0.1,0.5382951
-0.05,0.5984829
0,0.6615413
0.05,0.7264891
0.1,0.7943647
0.15,0.8649702
0.2,0.9383469
0.25,1.014562
0.3,1.093671
0.35,1.175506
0.4,1.260093
0.45,1.347439
0.5,1.437507
0.55,1.530216
0.6,1.625374
0.65,1.722907
0.7,1.822643
0.75,1.924345
0.8,2.027779
0.85,2.132891
0.9,2.238909
0.95,2.346375
1,2.454492
1.05,2.563133
1.1,2.672197
1.15,2.781447
1.2,2.890951
1.25,3.000253
1.3,3.109228
1.35,3.218057
1.4,3.326673
1.45,3.434451
1.5,3.541857
1.55,3.648538
1.6,3.754456
1.65,3.859839
1.7,3.964669
1.75,4.068677
1.8,4.172086
1.85,4.274873
1.9,4.376809
1.95,4.478596
2,4.579771
2.05,4.680244
2.1,4.780369
2.15,4.880298
2.2,4.979409
2.25,5.078125
2.3,5.176604
2.35,5.274257
2.4,5.371489
2.45,5.467829
2.5,5.563209
2.55,5.657458
2.6,5.750956
2.65,5.843088
2.7,5.934163
2.75,6.024038
2.8,6.112802
2.85,6.20082
2.9,6.287588
2.95,6.37328
3,6.45828
3.05,6.542445
3.1,6.625914
3.15,6.708922
3.2,6.791302
3.25,6.87317
3.3,6.954771
3.35,7.036369
3.4,7.117892
3.45,7.199219
3.5,7.280226
3.55,7.361493
3.6,7.442503
3.65,7.522666
3.7,7.603102
3.75,7.683255
3.8,7.76274
3.85,7.841973
3.9,7.920145
3.95,7.998357
4,8.075816
4.05,8.152546
4.1,8.228676
4.15,8.304081
4.2,8.378932
4.25,8.452934
4.3,8.525928
4.35,8.59862
4.4,8.670117
4.45,8.740721
4.5,8.809994
4.55,8.87795
4.6,8.945156
4.65,9.010923
4.7,9.074946
4.75,9.138526
4.8,9.200444
4.85,9.2615
4.9,9.320813
4.95,9.379248
5,9.436776
