Tensao [V],Corrente [A]
-5,-0.001096034
-4.95,-0.001079433
-4.9,-0.001073503
-4.85,-0.001067153
-4.8,-0.001061633
-4.75,-0.001058291
-4.7,-0.001058073
-4.65,-0.001057745
-4.6,-0.001055967
-4.55,-0.001053133
-4.5,-0.001050528
-4.45,-0.001054146
-4.4,-0.001051564
-4.35,-0.001046566
-4.3,-0.001045014
-4.25,-0.001043672
-4.2,-0.001047774
-4.15,-0.001045332
-4.1,-0.001046569
-4.05,-0.00104335
-4,-0.001036153
-3.95,-0.001031435
-3.9,-0.001027981
-3.85,-0.001029949
-3.8,-0.001033038
-3.75,-0.001031659
-3.7,-0.001035126
-3.65,-0.00103428
-3.6,-0.001024943
-3.55,-0.001021175
-3.5,-0.001016113
-3.45,-0.001015778
-3.4,-0.001016345
-3.35,-0.001016402
-3.3,-0.001021137
-3.25,-0.001025014
-3.2,-0.001025528
-3.15,-0.001018666
-3.1,-0.001024362
-3.05,-0.001014383
-3,-0.001007595
-2.95,-0.001003869
-2.9,-0.001002104
-2.85,-0.001006099
-2.8,-0.00101435
-2.75,-0.001007315
-2.7,-0.001003983
-2.65,-0.001003557
-2.6,-0.001000767
-2.55,-0.0009982224
-2.5,-0.0009973105
-2.45,-0.0009966058
-2.4,-0.0009930661
-2.35,-0.0009900969
-2.3,-0.0009880693
-2.25,-0.0009866203
-2.2,-0.0009812829
-2.15,-0.0009765553
-2.1,-0.0009733452
-2.05,-0.0009694329
-2,-0.0009628158
-1.95,-0.0009563602
-1.9,-0.0009503907
-1.85,-0.0009428325
-1.8,-0.0009335893
-1.75,-0.0009204928
-1.7,-0.000885057
-1.65,-0.000882301
-1.6,-0.0008681538
-1.55,-0.0008540011
-1.5,-0.000821906
-1.45,-0.0007873951
-1.4,-0.0007405195
-1.35,-0.0006835141
-1.3,-0.000616449
-1.25,-0.0005321396
-1.2,-0.0004253589
-1.15,-0.0002981915
-1.1,-0.0001195385
-1.05,0.0001104727
-1,0.0004383436
-0.95,0.0009304033
-0.9,0.001665193
-0.85,0.00325773
-0.8,0.004483875
-0.75,0.006839669
-0.7,0.01015483
-0.65,0.01455864
-0.6,0.02015793
-0.55,0.03055088
-0.5,0.0396755
-0.45,0.05036569
-0.4,0.06286453
-0.35,0.07712763
-0.3,0.09353626
-0.25,0.11151
-0.2,0.1311669
-0.15,0.1526079
-0.1,0.175178
-0.05,0.1988009
0,0.2242787
0.05,0.2503936
0.1,0.2776163
0.15,0.3059234
0.2,0.3350352
0.25,0.3651134
0.3,0.3962139
0.35,0.4283351
0.4,0.4618871
0.45,0.4968075
0.5,0.531895
0.55,0.5681234
0.6,0.6050151
0.65,0.6427624
0.7,0.6811141
0.75,0.7203309
0.8,0.760278
0.85,0.800636
0.9,0.8416617
0.95,0.8827025
1,0.922752
1.05,0.963766
1.1,1.004138
1.15,1.044906
1.2,1.084526
1.25,1.123704
1.3,1.162078
1.35,1.19982
1.4,1.236271
1.45,1.272382
1.5,1.307405
1.55,1.341774
1.6,1.375091
1.65,1.406945
1.7,1.438208
1.75,1.469298
1.8,1.498795
1.85,1.527718
1.9,1.555435
1.95,1.581392
2,1.608909
2.05,1.634972
2.1,1.660688
2.15,1.685389
2.2,1.709836
2.25,1.734993
2.3,1.758435
2.35,1.781458
2.4,1.80528
2.45,1.826609
2.5,1.849224
2.55,1.869405
2.6,1.8886
2.65,1.909241
2.7,1.927621
2.75,1.945873
2.8,1.963863
2.85,1.979891
2.9,1.996582
2.95,2.012501
3,2.026957
3.05,2.04114
3.1,2.054914
3.15,2.067682
3.2,2.080626
3.25,2.09318
3.3,2.105087
3.35,2.116474
3.4,2.128684
3.45,2.141096
3.5,2.152118
3.55,2.163954
3.6,2.176115
3.65,2.186776
3.7,2.197926
3.75,2.210372
3.8,2.221909
3.85,2.230812
3.9,2.244105
3.95,2.253971
4,2.265021
4.05,2.275882
4.1,2.286032
4.15,2.295994
4.2,2.307069
4.25,2.315597
4.3,2.328728
4.35,2.336357
4.4,2.348068
4.45,2.356633
4.5,2.36677
4.55,2.375773
4.6,2.386297
4.65,2.395611
4.7,2.403053
4.75,2.413575
4.8,2.421718
4.85,2.431544
4.9,2.440646
4.95,2.448533
5,2.456625
