Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
2.45,0.025,0.07162552999999999,0.000826665960779267,0.00011159869999999999,0.07151393129999999,0.0008266684715551504
2.5,0.025,0.072008745,0.0008262815820455983,0.00011322280000000001,0.07189552219999999,0.0008262852465209377
2.55,0.025,0.072380353,0.0008284422558036922,0.00011451642,0.07226583657999999,0.0008284461529607264
2.6,0.025,0.072741583,0.0008305708187485686,0.00011585514,0.07262572786,0.0008305739802279509
2.65,0.025,0.073091089,0.0008304806973668271,0.00011731547999999999,0.07297377352,0.0008304834862859577
2.7,0.025,0.07343099,0.000829599300572938,0.00011882019999999999,0.07331216980000001,0.0008296023441128243
2.75,0.025,0.073760902,0.0008311666341929005,0.0001201236,0.07364077840000001,0.000831169576848819
2.8,0.025,0.07407845599999999,0.0008341424887764806,0.00012152295999999999,0.07395693303999999,0.000834146066829158
2.85,0.025,0.074383448,0.0008328715103223727,0.00012289108,0.07426055692,0.0008328742860457406
2.9,0.025,0.074676389,0.0008335550725716914,0.0001243784,0.0745520106,0.0008335579098219168
2.95,0.025,0.074959421,0.0008346863052328906,0.00012597088,0.07483345011999999,0.0008346890227693103
3.0,0.025,0.075227858,0.0008374781626844591,0.00012719072,0.07510066727999999,0.0008374794787464403
3.05,0.025,0.07548407500000001,0.0008366588182002394,0.00012874226,0.07535533274000002,0.0008366600825879404
3.1,0.025,0.07572971400000002,0.0008362763484133452,0.00013062202000000003,0.07559909198000002,0.0008362780784848218
3.15,0.025,0.07597402700000001,0.0008365582664976529,0.0001320252,0.07584200180000002,0.0008365612076558224
3.2,0.025,0.07619852099999999,0.000835971963570948,0.00013346845999999998,0.07606505254,0.0008359762051164161
3.25,0.025,0.07641256,0.0008343045952701517,0.00013475338,0.07627780662,0.000834308996376977
3.3,0.025,0.07661773,0.0008338141889733774,0.00013593684000000003,0.07648179315999999,0.0008338183807428624
3.35,0.025,0.07681252499999999,0.0008345240952949045,0.00013728336,0.07667524163999999,0.0008345265831462782
3.4,0.025,0.077004284,0.0008349504305872179,0.0001390597,0.0768652243,0.0008349562332794669
3.45,0.025,0.07718911000000002,0.0008329806464605123,0.00014008340000000002,0.07704902660000001,0.0008329841441611226
3.5,0.025,0.077370784,0.0008325346286318149,0.00014139492,0.07722938908,0.0008325375910384563
3.55,0.025,0.07754936200000001,0.0008329722816490117,0.00014294822,0.07740641378000002,0.0008329752094832219
3.6,0.025,0.07772589299999999,0.0008322274122170933,0.00014469954,0.07758119345999999,0.0008322308150289845
3.65,0.025,0.07789873300000001,0.0008297883006600077,0.0001456855,0.0777530475,0.000829792002472709
3.7,0.025,0.07807499399999998,0.000828531607956039,0.00014685238,0.07792814161999997,0.0008285348345107715
3.75,0.025,0.07824997499999999,0.0008304138887493242,0.0001484061,0.07810156889999999,0.0008304187023519732
3.8,0.025,0.078428973,0.0008299894543915081,0.00015000670000000002,0.0782789663,0.0008299934110382011
3.85,0.025,0.07860711900000002,0.0008277305952012567,0.00015055732000000002,0.07845656168000002,0.0008277312361237968
3.9,0.025,0.078784072,0.0008275264873746758,0.00015148684,0.07863258515999999,0.000827527189942338
3.95,0.025,0.078966106,0.0008266405798867839,0.00015322076,0.07881288523999999,0.0008266411277292682
4.0,0.025,0.079148948,0.0008250170984194487,0.00015500399999999998,0.078993944,0.0008250180712856424
4.05,0.025,0.07933227400000001,0.0008236757580936282,0.00015675312000000002,0.07917552088,0.0008236777471040299
4.1,0.025,0.079514496,0.0008230437707706977,0.00015846938,0.07935602662,0.0008230492280501548
4.15,0.025,0.07969752399999999,0.000821952348378203,0.0001597262,0.07953779779999999,0.0008219568251266046
4.2,0.025,0.07988116599999999,0.0008236168736628847,0.00016077643999999998,0.07972038956,0.0008236187570125101
4.25,0.025,0.080065054,0.0008217601270065251,0.00016176606,0.07990328794,0.0008217607568649457
4.3,0.025,0.08024743000000001,0.0008189893034710556,0.00016347028,0.08008395972000001,0.0008189901990557193
4.35,0.025,0.080433036,0.0008179850799535795,0.00016488950000000002,0.0802681465,0.0008179864194554815
4.4,0.025,0.08061797000000001,0.0008176336797667366,0.00016635842,0.08045161158000001,0.0008176347518649886
4.45,0.025,0.080798748,0.0008156266118866998,0.00016769692,0.08063105108,0.000815627174938807
4.5,0.025,0.080977728,0.0008158056739308543,0.00016902462,0.08080870338,0.0008158059768606181
4.55,0.025,0.081161297,0.0008141213282913599,0.00017085246000000002,0.08099044454,0.0008141216964295395
4.6,0.025,0.0813422,0.000814686211358568,0.00017097842000000002,0.08117122158000001,0.0008146909347342797
4.65,0.025,0.081519007,0.0008131867881919877,0.00017282071999999998,0.08134618628000001,0.0008131874407255609
4.7,0.025,0.08169442800000001,0.0008116671598739112,0.00017453768,0.08151989032000001,0.0008116678187951388
4.75,0.025,0.081870496,0.0008104095091056672,0.00017640934,0.08169408666,0.000810410576417933
4.8,0.025,0.082042197,0.0008097960498936359,0.00017794127999999997,0.08186425572,0.0008097967328788028
4.85,0.025,0.082213702,0.0008092364931190106,0.00017900499999999998,0.082034697,0.0008092370360237626
4.9,0.025,0.082379168,0.0008060685004224734,0.00018001644,0.08219915156,0.0008060690907780504
4.95,0.025,0.08254726100000001,0.0008039539010063518,0.00018118558,0.08236607542,0.0008039547295281762
5.0,0.025,0.08271176099999998,0.0008060775097201665,0.00018245986,0.08252930113999998,0.0008060786488908436
