Tensao [V];Corrente [A]
-5;-0,002468873
-4,95;-0,002501306
-4,9;-0,002498505
-4,85;-0,002494915
-4,8;-0,002492654
-4,75;-0,002492328
-4,7;-0,002489715
-4,65;-0,002486883
-4,6;-0,002485166
-4,55;-0,002482918
-4,5;-0,002481476
-4,45;-0,002479351
-4,4;-0,002477968
-4,35;-0,002477595
-4,3;-0,002476111
-4,25;-0,002472549
-4,2;-0,002469202
-4,15;-0,00246885
-4,1;-0,00246825
-4,05;-0,00246773
-4;-0,00246621
-3,95;-0,002464577
-3,9;-0,002463977
-3,85;-0,002460605
-3,8;-0,002459881
-3,75;-0,002459044
-3,7;-0,002459274
-3,65;-0,002457629
-3,6;-0,002453856
-3,55;-0,002453125
-3,5;-0,002452926
-3,45;-0,002451717
-3,4;-0,002449869
-3,35;-0,00244917
-3,3;-0,002447964
-3,25;-0,002445119
-3,2;-0,002441891
-3,15;-0,002443062
-3,1;-0,002445805
-3,05;-0,002443555
-3;-0,002440755
-2,95;-0,002438345
-2,9;-0,002436386
-2,85;-0,002435653
-2,8;-0,002432298
-2,75;-0,002429706
-2,7;-0,002428953
-2,65;-0,002425832
-2,6;-0,002423051
-2,55;-0,002421291
-2,5;-0,002419255
-2,45;-0,002417745
-2,4;-0,002413562
-2,35;-0,002409323
-2,3;-0,002404868
-2,25;-0,002399445
-2,2;-0,002392786
-2,15;-0,002385971
-2,1;-0,002378777
-2,05;-0,002371449
-2;-0,00235985
-1,95;-0,002348206
-1,9;-0,002336141
-1,85;-0,002324088
-1,8;-0,002306337
-1,75;-0,002285234
-1,7;-0,002261634
-1,65;-0,002230971
-1,6;-0,002190006
-1,55;-0,002137551
-1,5;-0,00207169
-1,45;-0,001959448
-1,4;-0,001878064
-1,35;-0,001744145
-1,3;-0,001571611
-1,25;-0,001358607
-1,2;-0,001097272
-1,15;-0,000769083
-1,1;-0,0003403044
-1,05;0,0002480354
-1;0,001085507
-0,95;0,002866845
-0,9;0,004207768
-0,85;0,006874397
-0,8;0,01086164
-0,75;0,01655293
-0,7;0,0284922
-0,65;0,03978303
-0,6;0,05369675
-0,55;0,07039837
-0,5;0,09022972
-0,45;0,1134979
-0,4;0,1403852
-0,35;0,1707443
-0,3;0,2042318
-0,25;0,2404454
-0,2;0,2789124
-0,15;0,3193041
-0,1;0,3614463
-0,05;0,4052772
0;0,4512007
0,05;0,4985961
0,1;0,5480792
0,15;0,5994015
0,2;0,6526821
0,25;0,7080233
0,3;0,7654489
0,35;0,8248876
0,4;0,8862941
0,45;0,9496359
0,5;1,014878
0,55;1,081887
0,6;1,150708
0,65;1,221263
0,7;1,293386
0,75;1,366918
0,8;1,441655
0,85;1,517535
0,9;1,59423
0,95;1,671588
1;1,749445
1,05;1,827721
1,1;1,906209
1,15;1,984802
1,2;2,063374
1,25;2,14183
1,3;2,220135
1,35;2,29789
1,4;2,374896
1,45;2,451254
1,5;2,526798
1,55;2,601406
1,6;2,675329
1,65;2,747751
1,7;2,819575
1,75;2,8903
1,8;2,959977
1,85;3,028418
1,9;3,096175
1,95;3,162978
2;3,229124
2,05;3,294265
2,1;3,358715
2,15;3,422222
2,2;3,48517
2,25;3,547345
2,3;3,608481
2,35;3,669246
2,4;3,729083
2,45;3,788261
2,5;3,846603
2,55;3,90432
2,6;3,961276
2,65;4,017331
2,7;4,072776
2,75;4,127069
2,8;4,180518
2,85;4,232891
2,9;4,28424
2,95;4,334278
3;4,382857
3,05;4,430472
3,1;4,476741
3,15;4,522072
3,2;4,56632
3,25;4,609666
3,3;4,652015
3,35;4,693598
3,4;4,734623
3,45;4,774726
3,5;4,814381
3,55;4,853205
3,6;4,891207
3,65;4,9288
3,7;4,965689
3,75;5,002085
3,8;5,038364
3,85;5,073811
3,9;5,108931
3,95;5,143145
4;5,177454
4,05;5,211079
4,1;5,244214
4,15;5,276445
4,2;5,308436
4,25;5,339958
4,3;5,370281
4,35;5,401021
4,4;5,43071
4,45;5,46021
4,5;5,489238
4,55;5,517713
4,6;5,545691
4,65;5,573218
4,7;5,600087
4,75;5,626856
4,8;5,652872
4,85;5,678703
4,9;5,703834
4,95;5,728567
5;5,752815
