Tensao [V];Corrente [A]
-5;-0,002990976
-4,95;-0,003066455
-4,9;-0,00307019
-4,85;-0,0030672
-4,8;-0,003064542
-4,75;-0,003060661
-4,7;-0,003060559
-4,65;-0,003058968
-4,6;-0,003056619
-4,55;-0,003054387
-4,5;-0,003053019
-4,45;-0,003052982
-4,4;-0,003050481
-4,35;-0,00304859
-4,3;-0,003046711
-4,25;-0,003046145
-4,2;-0,003045269
-4,15;-0,003042199
-4,1;-0,003041041
-4,05;-0,003040103
-4;-0,003038281
-3,95;-0,003036572
-3,9;-0,00303531
-3,85;-0,003035184
-3,8;-0,003034312
-3,75;-0,003031423
-3,7;-0,003029945
-3,65;-0,003029304
-3,6;-0,003027265
-3,55;-0,003025991
-3,5;-0,003023672
-3,45;-0,003022678
-3,4;-0,003021701
-3,35;-0,003020331
-3,3;-0,003018176
-3,25;-0,003016279
-3,2;-0,003015816
-3,15;-0,00301369
-3,1;-0,003011564
-3,05;-0,003009867
-3;-0,003008676
-2,95;-0,003006339
-2,9;-0,003001515
-2,85;-0,003002611
-2,8;-0,003002371
-2,75;-0,003006947
-2,7;-0,003001503
-2,65;-0,002997576
-2,6;-0,002996076
-2,55;-0,002993392
-2,5;-0,002990962
-2,45;-0,002985172
-2,4;-0,002982369
-2,35;-0,002978094
-2,3;-0,002971345
-2,25;-0,002965259
-2,2;-0,0029581
-2,15;-0,002951292
-2,1;-0,002940704
-2,05;-0,002929664
-2;-0,002919499
-1,95;-0,00290516
-1,9;-0,002891602
-1,85;-0,002873549
-1,8;-0,002854191
-1,75;-0,002833443
-1,7;-0,002801336
-1,65;-0,002765008
-1,6;-0,002717385
-1,55;-0,002654815
-1,5;-0,002574595
-1,45;-0,002466445
-1,4;-0,002332984
-1,35;-0,002164175
-1,3;-0,00185902
-1,25;-0,001684543
-1,2;-0,001370016
-1,15;-0,0009590938
-1,1;-0,0004267131
-1,05;0,0003039406
-1;0,001350631
-0,95;0,003613179
-0,9;0,005230124
-0,85;0,008511957
-0,8;0,01340178
-0,75;0,02034202
-0,7;0,03477416
-0,65;0,0484106
-0,6;0,06506927
-0,55;0,08497624
-0,5;0,1086043
-0,45;0,1362461
-0,4;0,1679811
-0,35;0,2035046
-0,3;0,2424376
-0,25;0,2841529
-0,2;0,3280801
-0,15;0,3740605
-0,1;0,4218873
-0,05;0,4715175
0;0,523502
0,05;0,5770654
0,1;0,6330094
0,15;0,6911454
0,2;0,7515292
0,25;0,8142485
0,3;0,8793238
0,35;0,9466958
0,4;1,016291
0,45;1,088083
0,5;1,162094
0,55;1,238217
0,6;1,316389
0,65;1,396503
0,7;1,478367
0,75;1,561916
0,8;1,64687
0,85;1,733061
0,9;1,820199
0,95;1,908214
1;1,996821
1,05;2,085879
1,1;2,175323
1,15;2,264636
1,2;2,354227
1,25;2,44373
1,3;2,533135
1,35;2,621812
1,4;2,7101
1,45;2,798134
1,5;2,885187
1,55;2,971458
1,6;3,056738
1,65;3,141262
1,7;3,22483
1,75;3,307618
1,8;3,38923
1,85;3,47008
1,9;3,550206
1,95;3,629374
2;3,708073
2,05;3,785791
2,1;3,863121
2,15;3,93989
2,2;4,015723
2,25;4,090805
2,3;4,165115
2,35;4,238698
2,4;4,311519
2,45;4,383532
2,5;4,454686
2,55;4,52478
2,6;4,594036
2,65;4,662436
2,7;4,72988
2,75;4,796484
2,8;4,862559
2,85;4,92751
2,9;4,991482
2,95;5,054491
3;5,116518
3,05;5,177706
3,1;5,237981
3,15;5,296573
3,2;5,354771
3,25;5,411504
3,3;5,467349
3,35;5,522353
3,4;5,577104
3,45;5,630973
3,5;5,68405
3,55;5,73663
3,6;5,788854
3,65;5,840277
3,7;5,891206
3,75;5,941288
3,8;5,991043
3,85;6,040181
3,9;6,088545
3,95;6,136488
4;6,184082
4,05;6,230522
4,1;6,276526
4,15;6,321799
4,2;6,366115
4,25;6,409888
4,3;6,452694
4,35;6,494962
4,4;6,535995
4,45;6,576759
4,5;6,616306
4,55;6,655494
4,6;6,693565
4,65;6,731155
4,7;6,768072
4,75;6,803891
4,8;6,839236
4,85;6,874046
4,9;6,907751
4,95;6,941225
5;6,973843
