Tensao [V];Corrente [A]
-5;-0,002467719
-4,95;-0,002500271
-4,9;-0,002498674
-4,85;-0,002495268
-4,8;-0,002491924
-4,75;-0,002489067
-4,7;-0,002488495
-4,65;-0,00248611
-4,6;-0,00248355
-4,55;-0,002482058
-4,5;-0,002481332
-4,45;-0,002480008
-4,4;-0,002476085
-4,35;-0,002474008
-4,3;-0,002473203
-4,25;-0,002471428
-4,2;-0,002469908
-4,15;-0,002467552
-4,1;-0,002468046
-4,05;-0,002466966
-4;-0,002464131
-3,95;-0,002462645
-3,9;-0,002461921
-3,85;-0,002460447
-3,8;-0,002460678
-3,75;-0,002458781
-3,7;-0,002457535
-3,65;-0,002456285
-3,6;-0,002453937
-3,55;-0,002452676
-3,5;-0,002451146
-3,45;-0,002450741
-3,4;-0,002449513
-3,35;-0,002446676
-3,3;-0,002446463
-3,25;-0,00244583
-3,2;-0,002444559
-3,15;-0,002442935
-3,1;-0,002440853
-3,05;-0,002440064
-3;-0,002438292
-2,95;-0,002436409
-2,9;-0,002435249
-2,85;-0,002433858
-2,8;-0,002432874
-2,75;-0,002430561
-2,7;-0,002427526
-2,65;-0,002426288
-2,6;-0,002424228
-2,55;-0,002421817
-2,5;-0,00241871
-2,45;-0,002414907
-2,4;-0,002412861
-2,35;-0,002408301
-2,3;-0,002400884
-2,25;-0,00239643
-2,2;-0,002390713
-2,15;-0,002382467
-2,1;-0,002374756
-2,05;-0,002366351
-2;-0,002357702
-1,95;-0,002346698
-1,9;-0,002333369
-1,85;-0,002318652
-1,8;-0,002302606
-1,75;-0,002283044
-1,7;-0,002257633
-1,65;-0,002226708
-1,6;-0,002188873
-1,55;-0,002136489
-1,5;-0,002069293
-1,45;-0,001957613
-1,4;-0,001875731
-1,35;-0,001740216
-1,3;-0,001569511
-1,25;-0,00135721
-1,2;-0,001096147
-1,15;-0,0007684176
-1,1;-0,0003411131
-1,05;0,0002455455
-1;0,001085484
-0,95;0,002901616
-0,9;0,004209905
-0,85;0,006870828
-0,8;0,01085157
-0,75;0,01653986
-0,7;0,02849079
-0,65;0,03976466
-0,6;0,05366407
-0,55;0,07034495
-0,5;0,09018522
-0,45;0,1134456
-0,4;0,1403019
-0,35;0,1706319
-0,3;0,2041508
-0,25;0,2403438
-0,2;0,278796
-0,15;0,319184
-0,1;0,3613274
-0,05;0,4051313
0;0,451057
0,05;0,4984096
0,1;0,547864
0,15;0,5991949
0,2;0,6524339
0,25;0,7077589
0,3;0,765171
0,35;0,8245947
0,4;0,885992
0,45;0,9492762
0,5;1,014462
0,55;1,081504
0,6;1,150305
0,65;1,220829
0,7;1,292935
0,75;1,366464
0,8;1,441206
0,85;1,517011
0,9;1,593675
0,95;1,671057
1;1,74895
1,05;1,827157
1,1;1,90563
1,15;1,984251
1,2;2,062856
1,25;2,141279
1,3;2,21952
1,35;2,297289
1,4;2,374494
1,45;2,450736
1,5;2,526232
1,55;2,600854
1,6;2,674538
1,65;2,747159
1,7;2,81872
1,75;2,889562
1,8;2,959314
1,85;3,027876
1,9;3,095431
1,95;3,162425
2;3,228346
2,05;3,293566
2,1;3,357908
2,15;3,421546
2,2;3,48424
2,25;3,546377
2,3;3,607779
2,35;3,668478
2,4;3,728328
2,45;3,787445
2,5;3,845948
2,55;3,903551
2,6;3,960484
2,65;4,016475
2,7;4,07163
2,75;4,126214
2,8;4,179634
2,85;4,232148
2,9;4,283435
2,95;4,333486
3;4,382124
3,05;4,430019
3,1;4,476221
3,15;4,521755
3,2;4,565611
3,25;4,609072
3,3;4,651305
3,35;4,692819
3,4;4,733857
3,45;4,773946
3,5;4,813519
3,55;4,852297
3,6;4,890363
3,65;4,92792
3,7;4,965048
3,75;5,001338
3,8;5,03706
3,85;5,072655
3,9;5,107838
3,95;5,142289
4;5,176363
4,05;5,209907
4,1;5,242916
4,15;5,275465
4,2;5,307516
4,25;5,33869
4,3;5,369776
4,35;5,399723
4,4;5,429897
4,45;5,459362
4,5;5,488444
4,55;5,516943
4,6;5,544558
4,65;5,571799
4,7;5,598843
4,75;5,625208
4,8;5,651368
4,85;5,677147
4,9;5,702304
4,95;5,726959
5;5,751371
