Tensao [V];Corrente [A]
-5;-0,004294844
-4,95;-0,004375368
-4,9;-0,004378728
-4,85;-0,004376287
-4,8;-0,004372644
-4,75;-0,004373003
-4,7;-0,004370279
-4,65;-0,004366629
-4,6;-0,004365193
-4,55;-0,004363415
-4,5;-0,004361092
-4,45;-0,004359933
-4,4;-0,00435774
-4,35;-0,004356606
-4,3;-0,004354568
-4,25;-0,004351467
-4,2;-0,004350592
-4,15;-0,004350777
-4,1;-0,004350339
-4,05;-0,004348356
-4;-0,004346714
-3,95;-0,004344045
-3,9;-0,004348836
-3,85;-0,00434714
-3,8;-0,004346167
-3,75;-0,004345523
-3,7;-0,004342798
-3,65;-0,004339235
-3,6;-0,00433565
-3,55;-0,004332738
-3,5;-0,00433135
-3,45;-0,004326748
-3,4;-0,004325935
-3,35;-0,004326424
-3,3;-0,004323991
-3,25;-0,004322174
-3,2;-0,004317989
-3,15;-0,004315117
-3,1;-0,004314986
-3,05;-0,004312776
-3;-0,004311888
-2,95;-0,004312622
-2,9;-0,004309953
-2,85;-0,004308612
-2,8;-0,004306798
-2,75;-0,004303097
-2,7;-0,004302061
-2,65;-0,004298138
-2,6;-0,004295202
-2,55;-0,004293784
-2,5;-0,004290338
-2,45;-0,004286928
-2,4;-0,004282731
-2,35;-0,004276041
-2,3;-0,0042708
-2,25;-0,004264977
-2,2;-0,00425541
-2,15;-0,004244638
-2,1;-0,004234154
-2,05;-0,004220094
-2;-0,004204677
-1,95;-0,00418728
-1,9;-0,004168933
-1,85;-0,004146562
-1,8;-0,004120031
-1,75;-0,004088782
-1,7;-0,004050451
-1,65;-0,003998228
-1,6;-0,003931055
-1,55;-0,003843092
-1,5;-0,003729079
-1,45;-0,003580262
-1,4;-0,003387439
-1,35;-0,003144862
-1,3;-0,002844211
-1,25;-0,002470207
-1,2;-0,002003141
-1,15;-0,001117456
-1,1;-0,000604456
-1,05;0,0004333946
-1;0,00194489
-0,95;0,005162409
-0,9;0,007518302
-0,85;0,01218523
-0,8;0,01906118
-0,75;0,03394188
-0,7;0,04860797
-0,65;0,06709153
-0,6;0,08946493
-0,55;0,1160572
-0,5;0,1473593
-0,45;0,183723
-0,4;0,224977
-0,35;0,2704415
-0,3;0,3194248
-0,25;0,3710805
-0,2;0,4250758
-0,15;0,4811528
-0,1;0,5392561
-0,05;0,5995453
0;0,6626972
0,05;0,7277159
0,1;0,7956659
0,15;0,866362
0,2;0,9398385
0,25;1,016199
0,3;1,095377
0,35;1,177286
0,4;1,262015
0,45;1,349499
0,5;1,439665
0,55;1,532455
0,6;1,627741
0,65;1,725426
0,7;1,825194
0,75;1,926981
0,8;2,030494
0,85;2,135579
0,9;2,24201
0,95;2,349679
1;2,457806
1,05;2,566432
1,1;2,6756
1,15;2,784976
1,2;2,894377
1,25;3,003857
1,3;3,113208
1,35;3,22201
1,4;3,330528
1,45;3,43838
1,5;3,545858
1,55;3,652664
1,6;3,758734
1,65;3,864154
1,7;3,969122
1,75;4,073341
1,8;4,176842
1,85;4,279564
1,9;4,381915
1,95;4,483549
2;4,584975
2,05;4,685487
2,1;4,785736
2,15;4,885488
2,2;4,985005
2,25;5,083921
2,3;5,182333
2,35;5,280076
2,4;5,377541
2,45;5,473862
2,5;5,569166
2,55;5,663588
2,6;5,756924
2,65;5,849267
2,7;5,940352
2,75;6,030346
2,8;6,11944
2,85;6,20739
2,9;6,294294
2,95;6,380038
3;6,465257
3,05;6,549451
3,1;6,632923
3,15;6,715912
3,2;6,79831
3,25;6,880472
3,3;6,962231
3,35;7,043616
3,4;7,125126
3,45;7,206465
3,5;7,287827
3,55;7,368937
3,6;7,449939
3,65;7,530463
3,7;7,61111
3,75;7,691112
3,8;7,770817
3,85;7,849903
3,9;7,928727
3,95;8,00701
4;8,084508
4,05;8,161293
4,1;8,237574
4,15;8,313298
4,2;8,388342
4,25;8,46211
4,3;8,535561
4,35;8,608356
4,4;8,679656
4,45;8,750206
4,5;8,81971
4,55;8,88782
4,6;8,954903
4,65;9,020669
4,7;9,085164
4,75;9,148439
4,8;9,210333
4,85;9,271233
4,9;9,331144
4,95;9,389786
5;9,44743
