Tensao [V],Corrente [A]
-5,-0.0004727568
-4.95,-0.0004564995
-4.9,-0.0004509776
-4.85,-0.0004475837
-4.8,-0.0004444789
-4.75,-0.0004422971
-4.7,-0.0004407295
-4.65,-0.0004398899
-4.6,-0.0004387648
-4.55,-0.0004376656
-4.5,-0.0004374864
-4.45,-0.0004359925
-4.4,-0.0004349346
-4.35,-0.0004332506
-4.3,-0.0004333238
-4.25,-0.0004329242
-4.2,-0.0004304669
-4.15,-0.0004302906
-4.1,-0.0004293357
-4.05,-0.0004293318
-4,-0.0004284616
-3.95,-0.0004271306
-3.9,-0.0004270892
-3.85,-0.0004260604
-3.8,-0.0004245835
-3.75,-0.0004232305
-3.7,-0.0004227263
-3.65,-0.0004232353
-3.6,-0.0004220904
-3.55,-0.0004219324
-3.5,-0.0004209479
-3.45,-0.00042034
-3.4,-0.0004196045
-3.35,-0.0004180055
-3.3,-0.0004195804
-3.25,-0.0004192649
-3.2,-0.0004174278
-3.15,-0.0004142998
-3.1,-0.0004127947
-3.05,-0.0004118623
-3,-0.0004117617
-2.95,-0.0004109738
-2.9,-0.0004100224
-2.85,-0.0004103166
-2.8,-0.000409728
-2.75,-0.0004086395
-2.7,-0.000406419
-2.65,-0.0004048671
-2.6,-0.000404388
-2.55,-0.0004017357
-2.5,-0.0004001018
-2.45,-0.0003970007
-2.4,-0.0003938411
-2.35,-0.0003900155
-2.3,-0.0003857844
-2.25,-0.0003828737
-2.2,-0.0003776396
-2.15,-0.0003719783
-2.1,-0.0003656953
-2.05,-0.0003600792
-2,-0.000355304
-1.95,-0.0003482772
-1.9,-0.0003404548
-1.85,-0.0003337431
-1.8,-0.0003257012
-1.75,-0.0003178273
-1.7,-0.0003092559
-1.65,-0.0003008479
-1.6,-0.0002933332
-1.55,-0.0002829088
-1.5,-0.000271789
-1.45,-0.0002593118
-1.4,-0.0002447749
-1.35,-0.000225528
-1.3,-0.0001994908
-1.25,-0.0001661274
-1.2,-0.0001199816
-1.15,-5.659389E-05
-1.1,2.83347E-05
-1.05,0.0001394629
-1,0.0002853563
-0.95,0.0004896291
-0.9,0.0007810531
-0.85,0.001217078
-0.8,0.001895166
-0.75,0.003434297
-0.7,0.004762257
-0.65,0.007464712
-0.6,0.01164896
-0.55,0.01782165
-0.5,0.03143155
-0.45,0.0461269
-0.4,0.06533404
-0.35,0.08919821
-0.3,0.1168028
-0.25,0.147021
-0.2,0.1794816
-0.15,0.2138434
-0.1,0.2498927
-0.05,0.287188
0,0.3256781
0.05,0.3645736
0.1,0.4043467
0.15,0.4447448
0.2,0.4858834
0.25,0.5278317
0.3,0.5707116
0.35,0.6145899
0.4,0.6595337
0.45,0.7054452
0.5,0.752238
0.55,0.7999326
0.6,0.8485603
0.65,0.8980494
0.7,0.9483638
0.75,0.999418
0.8,1.051105
0.85,1.103288
0.9,1.155696
0.95,1.208235
1,1.260664
1.05,1.312793
1.1,1.364466
1.15,1.415539
1.2,1.465767
1.25,1.515044
1.3,1.563134
1.35,1.609945
1.4,1.655567
1.45,1.699996
1.5,1.743142
1.55,1.785053
1.6,1.825751
1.65,1.865267
1.7,1.903562
1.75,1.940748
1.8,1.976987
1.85,2.012371
1.9,2.046956
1.95,2.080774
2,2.113688
2.05,2.146236
2.1,2.177959
2.15,2.208933
2.2,2.239171
2.25,2.268624
2.3,2.297196
2.35,2.324949
2.4,2.352053
2.45,2.378297
2.5,2.403802
2.55,2.428547
2.6,2.452666
2.65,2.475726
2.7,2.498308
2.75,2.519905
2.8,2.541031
2.85,2.561254
2.9,2.58077
2.95,2.599446
3,2.617324
3.05,2.634563
3.1,2.651396
3.15,2.66741
3.2,2.682992
3.25,2.698197
3.3,2.712844
3.35,2.72725
3.4,2.741531
3.45,2.755604
3.5,2.769421
3.55,2.783005
3.6,2.796589
3.65,2.810009
3.7,2.822991
3.75,2.836365
3.8,2.849573
3.85,2.862481
3.9,2.875464
3.95,2.888323
4,2.901196
4.05,2.913831
4.1,2.926328
4.15,2.938784
4.2,2.951383
4.25,2.96368
4.3,2.976002
4.35,2.987999
4.4,3.000149
4.45,3.01207
4.5,3.023805
4.55,3.035453
4.6,3.047026
4.65,3.058074
4.7,3.069536
4.75,3.080308
4.8,3.09132
4.85,3.101968
4.9,3.11277
4.95,3.123018
5,3.133254
