Tensao [V],Corrente [A]
-5,-0.0001356682
-4.95,-0.0001230951
-4.9,-0.0001170501
-4.85,-0.0001144186
-4.8,-0.000112547
-4.75,-0.0001108359
-4.7,-0.000109115
-4.65,-0.0001072937
-4.6,-0.0001059357
-4.55,-0.0001039427
-4.5,-0.000102945
-4.45,-0.0001014362
-4.4,-0.0001002754
-4.35,-9.929005E-05
-4.3,-9.814274E-05
-4.25,-9.714506E-05
-4.2,-9.565093E-05
-4.15,-9.452213E-05
-4.1,-9.465568E-05
-4.05,-9.328657E-05
-4,-9.252302E-05
-3.95,-9.16368E-05
-3.9,-9.129369E-05
-3.85,-9.058159E-05
-3.8,-8.96403E-05
-3.75,-8.882026E-05
-3.7,-8.796843E-05
-3.65,-8.75406E-05
-3.6,-8.664218E-05
-3.55,-8.535399E-05
-3.5,-8.532945E-05
-3.45,-8.416999E-05
-3.4,-8.430489E-05
-3.35,-8.340523E-05
-3.3,-8.269304E-05
-3.25,-8.275437E-05
-3.2,-8.153481E-05
-3.15,-8.092934E-05
-3.1,-8.026135E-05
-3.05,-7.899038E-05
-3,-7.868148E-05
-2.95,-7.733563E-05
-2.9,-7.727802E-05
-2.85,-7.691032E-05
-2.8,-7.546526E-05
-2.75,-7.459498E-05
-2.7,-7.433883E-05
-2.65,-7.367209E-05
-2.6,-7.192059E-05
-2.55,-7.084694E-05
-2.5,-6.928909E-05
-2.45,-6.798001E-05
-2.4,-6.757674E-05
-2.35,-6.645038E-05
-2.3,-6.609245E-05
-2.25,-6.485212E-05
-2.2,-6.328198E-05
-2.15,-6.238483E-05
-2.1,-6.135401E-05
-2.05,-6.112971E-05
-2,-6.007932E-05
-1.95,-5.918333E-05
-1.9,-5.823956E-05
-1.85,-5.724919E-05
-1.8,-5.663268E-05
-1.75,-5.558468E-05
-1.7,-5.486649E-05
-1.65,-5.397787E-05
-1.6,-5.329146E-05
-1.55,-5.178023E-05
-1.5,-5.035847E-05
-1.45,-4.938646E-05
-1.4,-4.810806E-05
-1.35,-4.827848E-05
-1.3,-4.697556E-05
-1.25,-4.616047E-05
-1.2,-4.52535E-05
-1.15,-4.34983E-05
-1.1,-4.272005E-05
-1.05,-4.081038E-05
-1,-3.904786E-05
-0.95,-3.778537E-05
-0.9,-3.563558E-05
-0.85,-3.399438E-05
-0.8,-3.047422E-05
-0.75,-2.553352E-05
-0.7,-1.873468E-05
-0.65,-6.086886E-06
-0.6,1.521822E-05
-0.55,5.758109E-05
-0.5,0.0001415653
-0.45,0.0003021366
-0.4,0.0005839056
-0.35,0.001041583
-0.3,0.001756834
-0.25,0.003345952
-0.2,0.004512422
-0.15,0.006733398
-0.1,0.009752377
-0.05,0.01351708
0,0.01885605
0.05,0.02491672
0.1,0.02975543
0.15,0.03451378
0.2,0.03914885
0.25,0.04373048
0.3,0.04831053
0.35,0.05286251
0.4,0.05737831
0.45,0.06181599
0.5,0.06619941
0.55,0.07052287
0.6,0.07477777
0.65,0.07896779
0.7,0.08308677
0.75,0.08712635
0.8,0.09107644
0.85,0.0949335
0.9,0.0986788
0.95,0.1023214
1,0.1058512
1.05,0.1092912
1.1,0.1126219
1.15,0.1158498
1.2,0.1189733
1.25,0.1219936
1.3,0.1248912
1.35,0.1276691
1.4,0.1303346
1.45,0.1328697
1.5,0.1352901
1.55,0.1375913
1.6,0.1397543
1.65,0.1418181
1.7,0.14376
1.75,0.1456048
1.8,0.1473531
1.85,0.1490263
1.9,0.15061
1.95,0.1521435
2,0.1535996
2.05,0.1550101
2.1,0.1563648
2.15,0.1576747
2.2,0.1589408
2.25,0.1601634
2.3,0.1613492
2.35,0.1624985
2.4,0.163613
2.45,0.1647041
2.5,0.1657524
2.55,0.1667842
2.6,0.1677932
2.65,0.168769
2.7,0.169726
2.75,0.1706545
2.8,0.1715522
2.85,0.172423
2.9,0.1732763
2.95,0.1740766
3,0.1748469
3.05,0.1755983
3.1,0.1763124
3.15,0.1769992
3.2,0.1776576
3.25,0.1782813
3.3,0.1788919
3.35,0.1794804
3.4,0.1800513
3.45,0.1806074
3.5,0.1811469
3.55,0.1816895
3.6,0.1822201
3.65,0.1827464
3.7,0.1832676
3.75,0.1837988
3.8,0.1843294
3.85,0.1848629
3.9,0.1853993
3.95,0.185927
4,0.1864696
4.05,0.1869914
4.1,0.1875234
4.15,0.188054
4.2,0.1885768
4.25,0.1891039
4.3,0.1896342
4.35,0.1901523
4.4,0.1906815
4.45,0.1911998
4.5,0.1917221
4.55,0.1922295
4.6,0.1927418
4.65,0.1932447
4.7,0.1937382
4.75,0.1942302
4.8,0.1947063
4.85,0.1951728
4.9,0.1956601
4.95,0.1961141
5,0.1965594
