&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s	R_4 / 1/s	R_5 / 1/s
21,2	99					
21,3	97					
21,4	112					
21,5	94					
21,6	82					
21,7	105					
21,8	117					
21,9	99					
22,0	95					
22,1	126					
22,2	98					
22,3	99					
22,4	97					
22,5	86					
22,6	91					
22,7	97					
22,8	91					
22,9	108					
23,0	109					
23,1	107					
23,2	100					
23,3	104					
23,4	101					
23,5	100					
23,6	100					
23,7	104					
23,8	117					
23,9	100					
24,0	111					
24,1	98					
24,2	107					
24,3	87					
24,4	97					
24,5	95					
24,6	89					
24,7	117					
24,8	94					
24,9	97					
25,0	101					
25,1	103					
25,2	101					
25,3	104					
25,4	103					
25,5	105					
25,6	116					
25,7	107					
25,8	97					
25,9	93					
26,0	99					
26,1	99					
26,2	112					
26,3	116					
26,4	84					
26,5	108					
26,6	103					
26,7	102					
26,8	78					
26,9	87					
27,0	110					
27,1	105					
27,2	101					
27,3	92					
27,4	91					
27,5	111					
27,6	79					
27,7	104					
27,8	94					
27,9	103					
28,0	95					
28,1	84					
28,2	117					
28,3	106					
28,4	106					
28,5	110					
28,6	81					
28,7	107					
28,8	106					
28,9	101					
29,0	101					
29,1	94					
29,2	107					
29,3	97					
29,4	103					
29,5	102					
29,6	89					
29,7	109					
29,8	93					
29,9	89					
30,0	91					
