&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s	R_4 / 1/s	R_5 / 1/s
20,5	44					
20,6	52					
20,7	53					
20,8	41					
20,9	49					
21,0	37					
21,1	38					
21,2	38					
21,3	37					
21,4	33					
21,5	27					
21,6	31					
21,7	44					
21,8	31					
21,9	44					
22,0	90					
22,1	190					
22,2	221					
22,3	167					
22,4	97					
22,5	53					
22,6	31					
22,7	35					
22,8	36					
22,9	29					
23,0	34					
23,1	28					
23,2	37					
23,3	35					
23,4	36					
23,5	36					
23,6	19					
23,7	33					
23,8	31					
23,9	29					
24,0	26					
24,1	28					
24,2	23					
24,3	28					
24,4	23					
24,5	25					
24,6	15					
24,7	20					
24,8	33					
24,9	23					
25,0	22					
25,1	20					
25,2	28					
25,3	20					
25,4	23					
25,5	24					
25,6	24					
25,7	22					
25,8	23					
25,9	26					
26,0	28					
26,1	26					
26,2	27					
26,3	25					
26,4	17					
26,5	31					
26,6	29					
26,7	43					
26,8	26					
26,9	16					
27,0	19					
27,1	16					
27,2	16					
27,3	19					
27,4	20					
27,5	16					
27,6	24					
27,7	20					
27,8	20					
27,9	25					
28,0	24					
28,1	13					
28,2	15					
28,3	24					
28,4	13					
28,5	24					
28,6	14					
28,7	14					
28,8	15					
28,9	12					
29,0	9					
29,1	20					
29,2	20					
29,3	19					
29,4	22					
29,5	29					
29,6	14					
29,7	18					
29,8	11					
29,9	23					
30,0	35					
