Cor,V0 M1 sem ruido,Desvio padrao sem ruido,V0 M1 com ruido,Desvio padrao com ruido
Verde,-1.115092942411743,0.0037105231866039388,-1.1000586035489979,0.0058342724287691
Azul,-1.071048017510916,0.0007327701428306132,-1.0695443960451072,0.0002796584558297549
Amarelo,-0.6936215645741632,0.07954997763816325,-0.6040287199635381,0.014652389630259206
Vermelho,-0.5993575999021997,0.14391288036256103,-0.444353629095145,0.012830127709005995
Violeta,-1.813748070413888,0.05314484503602892,-1.8636497166633668,0.12810329399738252
